,stop_id,stop_name,type,in_lines,location,identifier,stop_id_1961,previous_in_lines,stop_description
0,1,4. Ring,bus,A53,"52.42250630689789, 13.2869490566549",nan,1,A53,4. Ring
1,2,Adalbertstrasse,bus,A1P,,,,,
2,3,Adamstrasse,bus,"A34,A35","52.521029117218866, 13.19780699419913",nan,2,"A34,A35",Adamstrasse Ecke Pichelsdorfer Strasse
3,4,Adlershof,s-bahn,"KBS 106a,KBS 103,KBS 103a","52.434722222222,13.541388888889",Q323551,3,"KBS 103,KBS 100a,KBS 106",Berlin-Adlershof station
4,5,Adolf-Scheidt-Platz,strassenbahn,96,"52.478194856980814, 13.37836902238447",nan,4,96,Adolf-Scheidt-Platz
5,6,Afrikanische Str.,u-bahn,C I,"52.560027777778,13.334633333333",Q559239,5,C I,Afrikanische Straße
6,7,"Ahrensfeld, Kirche",bus,A46,"52.57532170199278, 13.576515606968998",nan,7,A46,"Ahrensfeld, Kirche"
7,8,Alboinstrasse Ecke Prellerweg,bus,A68,,,,,
8,9,Albrechtshof,s-bahn,KBS 103,"52.5494,13.1283",Q800470,10,KBS 103,Berlin Albrechtshof station
9,10,Alexanderplatz,s-bahn,"KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104","52.521388888889,13.411944444444",Q111324700,11,"KBS 101,KBS 103,KBS 102",S-Bahnhof Berlin Alexanderplatz
10,11,Alexanderplatz,u-bahn,"A,E","52.5214,13.4119",Q17173458,12,"A,E",Alexanderplatz u-bahn station
11,12,"Alexanderplatz, Grunerstrasse",bus,A1P,,,,,
12,13,"Alexanderplatz, Grunerstrasse",strassenbahn,71,"52.52008326268696, 13.41408418961877",nan,14,71,"Alexanderplatz, Grunerstrasse"
13,14,"Alexanderplatz, Leninallee",strassenbahn,64,"52.522103158947594, 13.416511130432587",nan,15,64,nan
14,15,"Alexanderplatz, Memhardstr.",strassenbahn,1,"52.5233439,13.4110773+ 52.5233439,13.4110773",Q65227406+ Q65227406,16+ 17,"1+ 63,11,72,74E,22,74",nan+ Memhardstraße
15,16,"Alexanderplatz, Memhardstrasse",strassenbahn,"11,72,74E,82,22,74,63,69",,,,,
16,17,"Alexanderplatz, Neue Königstrasse",bus,O30,,,,,
17,18,Alexandrinenstrasse Ecke Johanniterstrasse,bus,A24,,,,,
18,19,Almutstrasse Ecke Berliner Strasse,bus,A12,,,,,
19,20,"Alt-Biesdorf, Oberfeldstrasse",bus,"O37,A8,A8E","52.50918606891929, 13.553347058493491
+ 52.50918606891929, 13.553347058493491",nan+ nan,18+ 19,"O37+ A8,A8E","nan+ Alt-Biesdorf, Oberfeldstrasse"
20,21,Alt-Buckow Ecke Buckower Damm,bus,A91,,,,,
21,22,Alt-Friedrichsfelde,strassenbahn,69E,,,,,
22,23,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"69,69E","52.50914093654053, 13.518129930582422",nan,21,69,nan
23,24,"Alt-Friedrichsfelde, Am Tierpark",bus,"A43,O37,A8,A8E",,,,,
24,25,Alt-Heiligensee,bus,"A14,A13","52.60616921042186, 13.210646859320935",nan,23,"A14,A13",Alt-Heiligensee
25,26,Alt-Karow,bus,A42,,,,,
26,27,Alt-Kladow,bus,"A34,A35","52.454591413254434, 13.144488043956764",nan,24,"A34,A35",Alt-Kladow
27,28,Alt-Kladow Ecke Kladower Damm,bus,A35E,,,,,
28,29,"Alt-Lankwitz, Dorfaue",bus,A81,,,,,
29,30,Alt-Mariendorf Ecke Mariendorfer Damm,bus,"A76,AS2s,A78",,,,,
30,31,Alt-Marienfelde,bus,A52,"52.413385082183694, 13.36338063003787",nan,27,A52,Alt-Marienfelde Ecke Marienfelder Allee
31,32,"Alt-Marzahn, Kirche",bus,O37,"52.542423454435976, 13.564061751343658",nan,28,O37,"Alt-Marzahn, Kirche"
32,33,Alt-Moabit,bus,A24,"52.524078460891005, 13.357069143313803",nan,29,A24,Alt-Moabit Ecke Rathenower Strasse
33,34,Alt-Moabit Ecke Gotzkowskystrasse,bus,A90,,,,,
34,35,Alt-Reinickendorf Ecke Rödern Allee,bus,A72,"52.57586051212987, 13.347765981901512",nan,31,A72,nan
35,36,Alt-Schmöckwitz,strassenbahn,86,"52.3752767,13.649549",Q66459540,33,86,Alt-Schmöckwitz
36,37,Alt-Tempelhof Ecke Tempelhofer Damm,bus,"A68,A76,A77,A78","52.465964306830664, 13.38558297633417+ 52.465964306830664, 13.38558297633417+ 52.465964306830664, 13.38558297633417",nan+ nan+ nan,34+ 1165+ 1166,"A77,A68,A76+ A73+ A65",nan+ nan+ nan
37,38,Alt-Wittenau,bus,A62,"52.58972877186178, 13.334169215342472 ;  52.59166508975595, 13.326326895395114",nan,35,"A62 ; A15,A21",Alt-Wittenau Ecke Oranienburger Straße ;  Alt-Wittenau Ecke Eichborndamm
38,39,Alt-Wittenau Ecke Eichborndamm,bus,"A14,A15,A21",,,,,
39,40,Altenheim Hottengrund,bus,A35E,,,,,
40,41,Altglienicke,s-bahn,"KBS 106a,KBS 103a",,,,,
41,42,"Altglienicke, Kirche",bus,A23,"52.421845729296805, 13.539407702079252",nan,37,A23,"Altglienicke, Kirche"
42,43,"Altglienicke, Kirche",strassenbahn,84,,,,,
43,44,Am Beelitzhof,bus,A3,"52.432202091928794, 13.186661564435827",nan,38,A3,Am Beelitzhof Ecke Kronprinzessinnenweg
44,45,Am Dachsbau,bus,A13,"52.60655284387061, 13.22984370797522",nan,39,A13,Am Dachsbau Ecke Heiligenseestrasse
45,46,Am Falkenberg,strassenbahn,84,,,,,
46,47,Am Grossen Wannsee,bus,"A18,A51","52.420496581432594, 13.167192967572669",nan,41,"A6,A51,A18",Am Grossen Wannsee Ecke Königstrasse
47,48,Am Großen Wannsee,bus,AS4,,,,,
48,49,Am Großen Wannsee Ecke Königstrasse,bus,A3,"52.420496581432594, 13.167192967572669
",nan,42,A3,nan
49,50,Am Karlsbad,bus,A75,"52.505510534075455, 13.36801582264215",nan,43,A75,nan
50,51,Am Kupfergraben,strassenbahn,"46,70,11","52.5194208,13.3953839",Q65055027,44,"46,70,1",Am Kupfergraben
51,52,Am Nordhafen,bus,A70,"52.53868315849872, 13.363248409190426",nan,45,A70,Am Nordhafen
52,53,Am Nordhafen Ecke Tegelerstrasse,bus,A90,,,,,
53,54,Am Oberhafen,bus,A67,"52.465017297775326, 13.450594183790596",nan,46,A67,Am Oberhafen
54,55,Am Pilz,bus,A15,,,,,
55,56,Am Rosenhag,bus,"A44,A44E","52.52474356253909, 13.621775828105108",nan,47,"A44,A44E",Am Rosenhag
56,57,Am Steinberg,bus,"A45,A55,A42","52.55648144940878, 13.429306764151775",nan,48,"A55,A42,A45",Am Steinberg Ecke Prenzlauer Promenade
57,58,Am Steinberg,strassenbahn,71,"52.5585796,13.4333751",Q65103320,49,71,Am Steinberg
58,59,Am Treptower Park Ecke Elsenstrasse,strassenbahn,87,"52.4917648672198, 13.457703881892664",nan,50,87,nan
59,60,Am Vierrutenbert Ecke Zabel-Krüger-Damm,bus,A20,,,,,
60,61,Am Volkspark,bus,A60,"52.483222065143515, 13.32036833862448",nan,52,A60,Am Volkspark Ecke Blissestrasse
61,62,Amrumer Strasse,u-bahn,G,,,,,
62,63,Amtsgericht,bus,"AS4,A10",,,,,
63,64,Amtsgericht,strassenbahn,"75,76","52.50682617853116, 13.297391449613752",nan,54,"75,76",Amtsgericht
64,65,Amtsgericht Charlottenburg,bus,A21,"52.50571853839105, 13.295347400894903",nan,55,A21,Amtsgericht Charlottenburg
65,66,An der Urania,bus,A69,,,,,
66,67,Andreasstrasse,bus,O30,"52.51797306914227, 13.432895480772247",nan,56,O30,Andreasstrasse/Lebuser Strasse
67,68,Andreezeile,bus,A66,"52.41046140348477, 13.267143098688617",nan,57,A66,nan
68,69,Anhalter Bahnhof,s-bahn,"KBS 100d,KBS 100c,KBS 100e","52.503055555556,13.381944444444",Q111324573,58,"KBS 104,KBS 105,KBS 106",S-Bahnhof Berlin Anhalter Bahnhof
69,70,Antonplatz,strassenbahn,"72,74E,3,74,70","52.5484803,13.4517416",Q65548849,59,"3,70,72,74E,74",Antonplatz
70,71,Antwerpener Strasse Ecke Afrikanische Strasse,bus,A64,,,,,
71,72,Argentinische Allee Ecke Fischerhüttenstrasse,bus,A53,,,,,
72,73,Arnimallee,bus,A68,"52.45789378609326, 13.299570204130864",nan,61,A68,Arnimallee
73,74,Aroser Allee,bus,"A14,A61","52.57376245122369, 13.351970705456408",nan,62,"A61,A14",Aroser Allee Ecke Lindauer Strasse
74,75,Askanierring,bus,"A34,A35,A63","52.54891706140618, 13.193495587303872 ;   52.545679974269035, 13.194267325495874",nan,63,"A34 ; A35,A63",Askanierring Ecke Falkenhagener Strasse ;   Askanierring Ecke Falkenhagener Damm
75,76,Askanischer Platz,bus,"A24,A75,A29","52.50447897041404, 13.382295467838158",nan,64,"A29,A75,A24",nan
76,77,Attilaplatz,bus,"AS2s,A25,A68","52.45590179888225, 13.376512495751076",nan,65,"A25,AS2,A68",Attilaplatz
77,78,Attilaplatz,strassenbahn,96,"52.455498340147045, 13.375619638525905",nan,66,96,Attilaplatz
78,79,Augsburger Str.,u-bahn,A II,"52.500556,13.336389",Q667035,67,"A II,B II",nan
79,80,Auguste-Viktoria-Allee,bus,A62,"52.569268504658915, 13.329801350092811",nan,68,A62,Auguste-Viktoria-Allee Ecke Ollenhauerstrasse
80,81,Badstrasse,bus,A70,"52.55228040855936, 13.381394276023574",nan,72,A70,Badstrasse Ecke Pankstrasse
81,82,Badstrasse/Prinzenallee,bus,A71,"52.55231378388406, 13.381413167559051",nan,73,A71,Badstrasse/Prinzenallee
82,83,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,95,"52.493899843231475, 13.403460093532933",nan,74,95,nan
83,84,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,C I,"52.520111111111,13.388305555556",Q3753274,75,C I,Friedrichstraße metro station
84,85,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,E,"52.510556,13.496389",Q3831986,76,E,Lichtenberg metro station
85,86,Bahnhof Wedding,u-bahn,C I,"52.5425,13.366111",Q4018733,77,C I,U-Bahnhof Wedding
86,87,Bahnhofstrasse,strassenbahn,84,"52.40244986860125, 13.512704137216817",nan,78,47,Bahnhofstrasse
87,88,Bahnhofstrasse Ecke Lindenstrasse,bus,A27,"52.45096281111, 13.572146868709519",nan,79,A27,Bahnhofstrasse Ecke Lindenstrasse
88,89,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,87,"52.4505094,13.572684+ 52.4505094,13.572684",Q66095701+ Q66095701,80+ 724,"82,87+ 83,95,84,86",Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße
89,90,Barfusstrasse,bus,A12S,,,,,
