,line_name,Stops,Frequency,Length (time),type,east-west,year
6,15,Daimlerstrasse - Großbeerenstrasse Ecke Lankwitzer Strasse - Körtingstrasse - Mariendorfer Damm - Imbrosweg - Mariendorfer Friedhof - Industriestrasse - Germaniastrasse - Frauenklinik - Hermannstrasse - U-Bhf. Neukölln - Richardstrasse - Saalestrasse Ecke Sonnenallee - Dammweg - Schulenburgpark,10.0,36.0,strassenbahn,West,1964
9,47,Gradestrasse Ecke Tempelhofer Weg - U-Bhf. Blaschko-Allee - Buschkrug - Onkel-Herse-Strasse - Parachimer Allee Ecke Buschkrug Allee - Grüner Weg Ecke Buschkrug Allee - Krankenhaus Neukölln - Johannisthaler Chaussee Ecke Rudower Strasse - Wildmeisterdamm Ecke Neuköllner Strasse - Stubenrauchstrasse - Köpenicker Strasse Ecke Neuköllner Strasse - Große-Ziethen Chaussee Ecke Waltersdorfer Chaussee,10.0,21.0,strassenbahn,West,1964
11,53,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Freiheit - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Hakenfelde",20.0,40.0,strassenbahn,West,1964
12,54,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Freiheit - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Johannesstift",20.0,41.0,strassenbahn,West,1964
13,55,Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Osnabrücker Strasse - Jakob-Kaiser-Platz - Quellweg - Paulsternstrasse - Zitadellenweg - Carl-Schurz-Strasse Ecke Am Juliusturm - Hafenplatz - Hohenzollernring - Hakenfelde,15.0,51.0,strassenbahn,West,1964
22,75,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstrasse - Reichssportfeldstrasse - StößenseeBrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring - Hakenfelde",20.0,58.0,strassenbahn,West,1964
23,76,"Bhf. Zoo, Kantstrasse - Wilmersdorfer Strasse - Amtsgericht - Messedamm - Theodor-Heuss-Platz - Preußenallee Ecke Heerstrasse - Reichssportfeldstrasse - Stößenseebrücke - Pichelsdorfer Strasse - Weverstrasse, Strassenbahnhof - Seeburger Strasse - Rathaus Spandau - Spandau, Markt - Hafenplatz - Hohenzollernring Ecke Schönwalder Allee - Johannesstift",20.0,59.0,strassenbahn,West,1964
33,95,Mehringplatz - Zossener Strasse Ecke Blücherstrasse - Baerwaldstrasse Ecke Urbanstrasse - Urban-Krankenhaus - Hermannplatz - Erkstrasse Ecke Sonnenallee - Hertzbergplatz - Saalestrasse Ecke Sonnenallee - Dammweg Ecke Sonnenallee - Schulenburgpark - Schwarzer Weg Ecke Sonnenallee,15.0,25.0,strassenbahn,West,1964
34,96,"Lindenstrasse - Mehringplatz - Yorckstrasse - U-Bhf. Flughafen - Adolf-Scheidt-Platz - Berlinickeplatz - Attilaplatz - Ringstrasse Ecke Attilastrasse - Lankwitz, Kirche - Seydlitzstrasse Ecke Kaiser-Wilhelm-Strasse - Kranoldplatz - Ostpreußendamm Ecke Morgenstern Strasse - Giesendorferstrasse Ecke Ostpreußendamm - Wismarer Strasse Ecke Ostpreußendamm - Goerzallee",15.0,49.0,strassenbahn,West,1964
35,A1,"Moabit, Waldstrasse Ecke Turmstrasse - Otto-Suhr-Allee Ecke Cauer Strasse - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse Ecke Blissestrasse - Breitenbachplatz - Botanischer Garten - Pacelli/Theilallee - Clayallee Ecke Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Rathaus Zehlendorf - Beeskowdamm Ecke Goerz Allee - Wismarer Strasse Ecke Lindenstrasse - Lindenstrasse Ecke Müllerstrasse",15.0,58.0,bus,West,1964
36,A2,"Bhf. Zoo - Spichernstrasse Ecke Joachimstaler Strasse - Berliner Strasse Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Feuerbachstrasse - Bergstrasse Ecke Bismarckstrasse - Feuerbachstrasse Ecke Bismarckstrasse - Steglitzer Damm Ecke Halske Strasse - Leonorenstrasse Ecke Albrechstrasse - Lankwitz, Kirche - Havensteinstrasse Ecke Gallwitzstrasse - Lerbacher Weg Ecke Tautenbergstrasse - Trippsteinstrasse",10.0,39.0,bus,West,1964
37,A3,"Rathaus Zehlendorf - Winifriedstrasse Ecke Clayallee - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-Hütte - U-Bhf. Krumme Lanke - Bhf. Lindenthaler Allee - Benschallee Ecke Potsdamer Chaussee - Schopenhauer-Strasse Ecke Spanische Allee - Borussenstrasse Ecke Kronprizessinnen Weg - Am Beelitzhof - Bhf. Wannsee - Am Großen Wannsee Ecke Königstrasse - Pfaueninsel-Chaussee Ecke Königstrasse - Rathaus Wannsee - Stölpchensee, Wilhelmplatz",10.0,39.0,bus,West,1964
38,A10,"Haselhorst, Kirche - Paulsternstrasse - Verwaltungs-Gebäude - Spandauer Damm - U-Bhf. Kaiserdamm - Amtsgericht - Kurfürstendamm Ecke Joachimsthaler Strasse - Henriettenplatz - Elsterplatz - Hundekehlestrasse - Königin-Luise-Strasse - U-Bhf. Thielplatz - Dahlemer Weg - Teltower Damm - Behring-Krankenhaus - Lupsteiner Weg",10.0,62.0,bus,West,1964
39,A11,"Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Unter den Eichen Ecke Habelschwerdter-Allee - Bhf. Lichterfelde-West - Ringstrasse - Wiesenbaude - Ostpreußendamm Ecke Wilhelmstrasse - Marienstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Kranoldplatz - Langestrasse - Hildburghauser Strasse - Stadtilmer Weg - Marienfelde, Alt-Marienfelde",7.5,34.0,bus,West,1964
40,A12,Gartenstrasse Ecke Bernauer Strasse - Grenzstrasse - U-Bhf. Leopold-Platz - U-Bhf. Seestrasse - Bristolstrasse - Emmentaler Strasse - Lindauer Strasse - Tessenowstrasse Ecke Oranienburgerstrasse - Eichborndamm Ecke Alt-Wittenau - Cyclopstrasse - Zabel-Krüger-Damm - Almutstrasse Ecke Berliner Strasse - Hermsdorfer Damm Ecke Berlinerstrasse - Zeltinger Platz - Donnersmarckplatz - Hainbuchenstrasse Ecke Kastanienallee,20.0,54.0,bus,West,1964
41,A12S,Leopoldplatz - U-Bhf. Seestrasse - Barfusstrasse - Emmentaler Strasse - Lindauer Strasse - Oranienburger Strasse - Rathaus Reinickendorf - Cyclopstrasse - Zabel-Krüger-Damm - Schildower Strasse - Hermsdorfer Damm Ecke Berlinerstrasse - Oswinsteig - Hohefeldstrasse - Im Fischgrund - Zeltinger Platz,10.0,31.0,bus,West,1964
42,A13,Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppiner Chaussee - U-Bhf. Tegel - Bernauer Strasse - Krankenhaus Tegel-Süd - Strasse nach Saatwinkel - Paulsternstrasse - Daumstrasse - Carl-Schurz-Strasse Ecke Neuendorfer Strasse - Rathaus Spandau - Seebugerstrasse Ecke Pichelsdorferstrasse - Päwesiner Weg - Heerstrasse Ecke Wilhelmstrasse - Weinmeisterhornweg,15.0,57.0,bus,West,1964
