,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19671,1967,3,strassenbahn,Revalerstrasse<> Björnsonstrasse,42,Ost,15
1,19672,1967,4,strassenbahn,Markusstrasse<> Eberswalderstrasse Ecke Oderberger Strasse,36,Ost,8
2,19673,1967,13,strassenbahn,Hönower Wiesenweg Ecke Blockdammweg<> Oderberger Strasse Ecke Eberswalderstrasse,42,Ost,8
3,19674,1967,22,strassenbahn,"Rosenthal, Hauptstrasse<> U-Bhf. Dimitroffstrasse",29,Ost,12
4,19675,1967,46,strassenbahn,Nordend<> Am Kupfergraben,44,Ost,10
5,19676,1967,49,strassenbahn,"Buchholz, Hauptstrasse<> Hackescher Markt",39,Ost,11
6,19677,1967,63,strassenbahn,"Hohenschönhausen, Gartenstadt<> Walter-Ulbricht-Stadion, Pflugstrasse",49,Ost,20
7,19678,1967,64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Dönhoffplatz",41,Ost,20
8,19679,1967,70,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Am Kupfergraben",49,Ost,10
9,196710,1967,71,strassenbahn,Romain-Rolland-Strasse<> Am Kupfergraben,40,Ost,10
10,196711,1967,72,strassenbahn,"Weißensee, Pasedagplatz<> Hackescher Markt",34,Ost,10
11,196712,1967,73,strassenbahn,"Weißensee, Bernkastelerstrasse<> Walter-Ulbricht-Stadion über Greifswalderstrasse",38,Ost,12
12,196713,1967,74,strassenbahn,"Wießensee, Pasedagplatz<> Leipziger Strasse Ecke Otto-Grotewohl-Strasse",47,Ost,8
13,196714,1967,82,strassenbahn,"Mahlsdorf-Süd, Hubertus<> Walter-Ulbricht-Stadion",89,Ost,20
14,196715,1967,82P,bus,Kinderheim<> Markgrafendamm,5,Ost,20
15,196716,1967,83,strassenbahn,Wendenschloß Ecke Ekhofstrasse<> S-Bhf. Mahlsdorf,49,Ost,20
16,196717,1967,83E,strassenbahn,S-Bhf. Köpenick<> Wendenschloß,21,Ost,0
17,196718,1967,84,strassenbahn,"Am Falkenberg<> Friedrichshagen, Wasserwerk",57,Ost,10
18,196719,1967,85,strassenbahn,"Wendenschloß<> Johannisthal, Haeckelstrasse",42,Ost,20
19,196720,1967,86,strassenbahn,"Alt-Schmöckwitz<> Mahlsdorf-Süd, Hubertus",51,Ost,20
20,196721,1967,87,strassenbahn,Rahnsdorf<> Wiener Brücke,70,Ost,20
21,196722,1967,92,strassenbahn,"Oberspree, Bruno-Bürgel-Weg<> Sonnenallee Ecke Baumschulenstrasse",18,Ost,15
22,196723,1967,95,strassenbahn,Krankenhaus Köpenick<> Wiener Brücke,48,Ost,20
23,196724,1967,A1,bus,"Moabit, Waldstrasse Ecke Turmstrasse<> Lindenstrasse Ecke Müllerstrasse",58,West,15
24,196725,1967,A2,bus,Hardenbergplatz<> Sonderhauserstrasse Ecke Hildburghauserstrasse,39,West,10
25,196726,1967,A3,bus,"Rathaus Zehlendorf<> Stölpchensee, Wilhelmplatz",39,West,10
26,196727,1967,A10,bus,"Haselhorst, Kirche<> Lupsteiner Weg",62,West,10
27,196728,1967,A11,bus,Saargemünder Strasse Ecke Clayallee<> U-Bhf. Alt-Mariendorf,39,West,7
28,196729,1967,A12,bus,Gartenstrasse Ecke Bernauer Strasse<> Hainbuchenstrasse Ecke Kastanienallee,54,West,15
29,196730,1967,A13,bus,Alt-Heiligensee Ecke Sandhauserstrasse<> Weinmeisterhornweg,57,West,15
30,196731,1967,A14,bus,Alt-Heiligensee Ecke Sandhauserstrasse<> Rügener Strasse,55,West,20
31,196732,1967,A14E,bus,Alt-Heiligensee<> Falkenplatz,9,West,30
32,196733,1967,A15,bus,"Lübarser Strasse Ecke Eichhorster Weg<> Frohnau, Invalidensiedlung",55,West,20
33,196734,1967,A16,bus,Osloer Strasse Ecke Drontheimerstrasse<> Englerallee,5,West,12
34,196735,1967,A16,bus,Arkonaplatz<> Liebknechstrasse vor Littenstrasse,9,Ost,12
35,196736,1967,A17,bus,"Grunewald, Fontanestrasse<> Saaleckplatz",48,West,10
