,line_id,stop_name,stop_order,stop_id
0,19671,Revalerstrasse,0,1967931
1,19671,Warschauer Strasse,1,19671278
2,19671,Holteistrasse Ecke Boxhagenerstrasse,2,1967494
3,19671,Bhf. Frankfurter Allee,3,1967123
4,19671,Roederplatz,4,1967942
5,19671,Hohenschönhauser Strasse,5,1967485
6,19671,Lichtenberger Strasse,6,1967666
7,19671,Antonplatz,7,196766
8,19671,Prenzlauer Promenade,8,1967876
9,19671,Schönhauser Allee,9,19671056
10,19671,Björnsonstrasse,10,1967152
11,19672,Markusstrasse,0,1967732
12,19672,Ostbahnhof,1,1967823
13,19672,Mühlenstrasse,2,1967766
14,19672,Revalerstrasse,3,1967931
15,19672,Grünberger Strasse,4,1967406
16,19672,Frankfurter Tor,5,1967318
17,19672,Bersarinplatz,6,1967118
18,19672,Leninallee,7,1967654
19,19672,Kniprodestrasse,8,1967582
20,19672,Greifswalder Strasse,9,1967390
21,19672,Prenzlauer Allee,10,1967875
22,19672,U-Bhf. Dimitroffstrasse,11,19671188
23,19672,Eberswalderstrasse Ecke Oderberger Strasse,12,1967269
24,19673,Hönower Wiesenweg Ecke Blockdammweg,0,1967509
25,19673,Kraftwerk Klingenberg,1,1967594
26,19673,S-Bhf. Rummelsburg,2,19671000
27,19673,Holteistrasse Ecke Boxhagenerstrasse,3,1967494
28,19673,Frankfurter Tor,4,1967318
29,19673,Bersarinplatz,5,1967118
30,19673,Leninallee,6,1967654
31,19673,Kniprodestrasse,7,1967582
32,19673,Greifswalder Strasse,8,1967390
33,19673,Prenzlauer Allee,9,1967875
34,19673,U-Bhf. Dimitroffstrasse,10,19671188
35,19673,Oderberger Strasse Ecke Eberswalderstrasse,11,1967797
36,19674,"Rosenthal, Hauptstrasse",0,1967947
37,19674,Nordendstrasse,1,1967789
38,19674,Kurt-Fischer-Platz,2,1967619
39,19674,"Pankow, Rathaus",3,1967838
40,19674,"Pankow, Kirche",4,1967836
41,19674,U-Bhf. Vinetastrasse,5,19671233
42,19674,Bornholmerstrasse Ecke Schönhauser Allee,6,1967169
43,19674,S-Bhf. Schönhauser Allee,7,19671001
44,19674,U-Bhf. Dimitroffstrasse,8,19671188
45,19675,Nordend,0,1967788
46,19675,Ossietzkyplatz,1,1967820
47,19675,Kurt-Fischer-Platz,2,1967619
48,19675,"Pankow, Kirche",3,1967836
49,19675,U-Bhf. Vinetastrasse,4,19671233
50,19675,Bornholmerstrasse Ecke Schönhauser Allee,5,1967169
51,19675,S-Bhf. Schönhauser Allee,6,19671001
52,19675,U-Bhf. Dimitroffstrasse,7,19671188
53,19675,Brunnenstrasse,8,1967190
54,19675,Oranienburger Tor,9,1967807
55,19675,Bhf. Friedrichstrasse,10,1967125
56,19675,Am Kupfergraben,11,196754
57,19676,"Buchholz, Hauptstrasse",0,1967195
58,19676,Industriebahn,1,1967517
59,19676,Galenusstrasse,2,1967347
60,19676,S-Bhf. Pankow-Heinersdorf,3,1967994
61,19676,Klaustalerstrasse Ecke Damerowstrasse,4,1967574
62,19676,"Pankow, Kirche",5,1967836
63,19676,S-Bhf. Vinetastrasse,6,19671004
64,19676,Bornholmer Strasse,7,1967168
65,19676,S-Bhf. Schönhauser Allee,8,19671001
66,19676,U-Bhf. Dimitroffstrasse,9,19671188
67,19676,Rosenthaler Platz,10,1967949
68,19676,Hackescher Markt,11,1967415
69,19677,"Hohenschönhausen, Gartenstadt",0,1967484
70,19677,Falkenbergerstrasse Ecke Wartenberger Strasse,1,1967297
71,19677,Degnerstrasse,2,1967244
72,19677,Weißenseer Weg,3,19671298
73,19677,Steuerhaus,4,19671113
74,19677,S-Bhf. Leninallee,5,1967987
75,19677,Dimitroffstrasse Ecke Landsberger Allee,6,1967251
76,19677,Leninplatz,7,1967656
77,19677,Hans-Beimler-Strasse,8,1967425
78,19677,U-Bhf. Luxemburgplatz,9,19671207
79,19677,Hackescher Markt,10,1967415
80,19677,Friedrichstrasse Ecke Oranienburgerstrasse,11,1967337
81,19677,Invalidenstrasse Ecke Chausseestrasse,12,1967522
82,19677,"Walter-Ulbricht-Stadion, Pflugstrasse",13,19671269
83,19678,"Hohenschönhausen, Falkenberger Strasse",0,1967483
84,19678,Degnerstrasse,1,1967244
85,19678,Weißenseer Weg,2,19671298
86,19678,Steuerhaus,3,19671113
87,19678,S-Bhf. Leninallee,4,1967987
88,19678,Dimitroffstrasse Ecke Landsberger Allee,5,1967251
89,19678,Leninplatz,6,1967656
90,19678,U-Bhf. Strausberger Platz,7,19671225
91,19678,Am Ostbahnhof,8,196756
92,19678,S-Bhf. Jannowitzbrücke,9,1967981
93,19678,U-Bhf. Märkisches Museum,10,19671210
94,19678,Spittelmarkt,11,19671099
95,19678,Dönhoffplatz,12,1967265
96,19679,"Hohenschönhausen, Falkenberger Strasse",0,1967483
97,19679,Berliner Strasse Ecke Suermondtstrasse,1,1967109
98,19679,Stadion Buschallee,2,19671103
99,19679,Kniprodeallee,3,1967581
100,19679,Buschallee Ecke Klement-Gottwald-Allee,4,1967210
101,19679,Lichtenberger Strasse,5,1967666
102,19679,Antonplatz,6,196766
103,19679,Prenzlauer Promenade,7,1967876
104,19679,Humannplatz,8,1967501
105,19679,U-Bhf. Dimitroffstrasse,9,19671188
106,19679,Brunnenstrasse,10,1967190
107,19679,Chausseestrasse,11,1967226
108,19679,Oranienburger Tor,12,1967807
109,19679,Bhf. Friedrichstrasse,13,1967125
110,19679,Am Kupfergraben,14,196754
111,196710,Romain-Rolland-Strasse,0,1967944
112,196710,"Heinersdorf, Kirche",1,1967452
113,196710,Prenzlauer Promenade,2,1967876
114,196710,S-Bhf. Prenzlauer Allee,3,1967996
115,196710,Prenzlauer Allee,4,1967875
116,196710,Prenzlauer Tor,5,1967879
117,196710,U-Bhf. Luxemburgplatz,6,19671207
118,196710,Hackescher Markt,7,1967415
119,196710,Oranienburger Tor,8,1967807
120,196710,Bhf. Friedrichstrasse,9,1967125
121,196710,Am Kupfergraben,10,196754
122,196711,"Weißensee, Pasedagplatz",0,19671295
123,196711,Buschallee,1,1967208
124,196711,Lichtenberger Strasse,2,1967666
125,196711,Antonplatz,3,196766
126,196711,Prenzlauer Promenade,4,1967876
127,196711,S-Bhf. Prenzlauer Allee,5,1967996
128,196711,Prenzlauer Allee,6,1967875
129,196711,Prenzlauer Tor,7,1967879
130,196711,U-Bhf. Luxemburgplatz,8,19671207
131,196711,Hackescher Markt,9,1967415
132,196712,"Weißensee, Bernkastelerstrasse",0,19671293
133,196712,Buschallee,1,1967208
134,196712,Antonplatz,2,196766
135,196712,S-Bhf. Greifswalderstrasse,3,1967976
136,196712,Greifswalderstrasse Ecke Dimitroffstrasse,4,1967392
137,196712,Königstor,5,1967631
138,196712,Prenzlauer Tor,6,1967879
139,196712,U-Bhf. Luxemburgplatz,7,19671207
140,196712,Hackescher Markt,8,1967415
141,196712,Friedrichstrasse,9,1967335
142,196712,Invalidenstrasse Ecke Chausseestrasse,10,1967522
143,196712,Walter-Ulbricht-Stadion über Greifswalderstrasse,11,19671268
144,196713,"Wießensee, Pasedagplatz",0,19671314
145,196713,Buschallee,1,1967208
146,196713,Antonplatz,2,196766
147,196713,S-Bhf. Greifswalder Strasse,3,1967975
148,196713,Greifswalderstrasse Ecke Dimitroffstrasse,4,1967392
149,196713,Königstor,5,1967631
150,196713,Mollstrasse Ecke Hans-Beimler-Strasse,6,1967751
151,196713,Leninplatz,7,1967656
152,196713,U-Bhf. Strausberger Platz,8,19671225
153,196713,Am Ostbahnhof,9,196756
154,196713,S-Bhf. Jannowitzbrücke,10,1967981
155,196713,U-Bhf. Märkisches Museum,11,19671210
156,196713,Spittelmarkt,12,19671099
157,196713,Dönhoffplatz,13,1967265
158,196713,Friedrichstrasse Ecke Leipzigerstrasse,14,1967336
159,196713,Leipziger Strasse Ecke Otto-Grotewohl-Strasse,15,1967652
160,196714,"Mahlsdorf-Süd, Hubertus",0,1967712
161,196714,Uhlenhorst,1,19671239
162,196714,S-Bhf. Köpenick,2,1967985
163,196714,Hegelschule,3,1967444
164,196714,Pionierpark,4,1967860
165,196714,Rathenaustrasse,5,1967913
166,196714,Wilhelminenhofstrasse Ecke Edisonstrasse,6,19671318
167,196714,Heinrich-Duncker-Strasse Ecke Ehrlichstrasse,7,1967453
168,196714,Hönower Wiesenweg,8,1967508
169,196714,Kraftwerk Klingenberg,9,1967594
170,196714,Karlshorsterstrasse,10,1967554
171,196714,S-Bhf. Ostkreuz,11,1967992
172,196714,Stralauer Allee Ecke Markgrafendamm,12,19671117
173,196714,Warschauer Strasse,13,19671278
174,196714,Ostbahnhof,14,1967823
175,196714,U-Bhf. Strausburger Platz,15,19671226
176,196714,Leninplatz,16,1967656
177,196714,Hans-Beimler-Strasse,17,1967425
178,196714,U-Bhf. Luxemburgplatz,18,19671207
179,196714,Rosenthaler Platz,19,1967949
180,196714,Veteranenstrasse Ecke Invalidenstrasse,20,19671251
181,196714,Chausseestrasse,21,1967226
182,196714,Walter-Ulbricht-Stadion,22,19671267
183,196715,Kinderheim,0,1967568
184,196715,Friedrich-Junge-Strasse,1,1967327
185,196715,Markgrafendamm,2,1967731
186,196716,Wendenschloß Ecke Ekhofstrasse,0,19671300
187,196716,VEB Schiffswerft,1,19671247
188,196716,RFT-Werk,2,1967895
189,196716,Strab. Bhf. Köpenick,3,19671115
190,196716,Lindenstrasse Ecke Bahnhofstrasse,4,1967680
191,196716,S-Bhf. Köpenick,5,1967985
192,196716,Uhlenhorst,6,19671239
193,196716,Mahlsdorf-Süd,7,1967711
194,196716,Bürgerwäldchen,8,1967216
195,196716,Rahnsdorfer Strasse,9,1967899
196,196716,S-Bhf. Mahlsdorf,10,1967990
197,196717,S-Bhf. Köpenick,0,1967985
198,196717,Lindenstrasse Ecke Bahnhofstrasse,1,1967680
199,196717,Strab. Bhf. Köpenick,2,19671115
200,196717,RFT-Werk,3,1967895
201,196717,VEB Schiffswerft,4,19671247
202,196717,Wendenschloß,5,19671299
203,196718,Am Falkenberg,0,196750
204,196718,"Altglienicke, Kirche",1,196748
205,196718,Benzolwerk,2,1967101
206,196718,S-Bhf. Adlershof,3,1967966
207,196718,S-Bhf. Spindlersfeld,4,19671002
208,196718,Schloßplatz Köpenick,5,19671027
209,196718,Bahnhofstrasse Ecke Lindenstrasse,6,196788
210,196718,Seelenbinderstrasse Ecke Bahnhofstrasse,7,19671062
211,196718,Hirschgarten,8,1967476
212,196718,S-Bhf. Friedrichshagen,9,1967973
213,196718,"Bölschestrasse, Brauerei",10,1967212
214,196718,"Friedrichshagen, Wasserwerk",11,1967333
215,196719,Wendenschloß,0,19671299
216,196719,VEB Schiffswerft,1,19671247
217,196719,RFT-Werk,2,1967895
218,196719,Strab. Bhf. Köpenick,3,19671115
219,196719,Lindenstrasse Ecke Hegelschule,4,1967681
220,196719,Pionierpark,5,1967860
221,196719,Edisonstrasse,6,1967272
222,196719,Brückenstrasse,7,1967192
223,196719,Bhf. Schöneweide,8,1967135
224,196719,"Johannisthal, Haeckelstrasse",9,1967532
225,196720,Alt-Schmöckwitz,0,196740
226,196720,Waldidyll,1,19671261
227,196720,Karolinenhof Mitte,2,1967555
228,196720,Richtershorn,3,1967935
229,196720,S-Bhf. Grünau,4,1967978
230,196720,Chemische Fabrik,5,1967227
231,196720,Jachtwerft,6,1967524
232,196720,Schloßplatz Köpenick,7,19671027
233,196720,Lindenstrasse Ecke Bahnhofstrasse,8,1967680
234,196720,S-Bhf. Köpenick,9,1967985
235,196720,Uhlenhorst,10,19671239
236,196720,"Mahlsdorf-Süd, Hubertus",11,1967712
237,196721,Rahnsdorf,0,1967898
238,196721,Wasserwerk,1,19671283
239,196721,S-Bhf. Friedrichshagen,2,1967973
240,196721,"Bölschestrasse, Brauerei",3,1967212
241,196721,Hirschgarten,4,1967476
242,196721,Seelenbinderstrasse Ecke Bahnhofstrasse,5,19671062
243,196721,Bahnhofstrasse Ecke Lindenstrasse,6,196788
244,196721,Pionierpark,7,1967860
245,196721,Rathenaustrasse,8,1967913
246,196721,Wilhelminenhofstrasse Ecke Edisonstrasse,9,19671318
247,196721,Bhf. Schöneweide,10,1967135
248,196721,Köpenicker Landstrasse Ecke Baumschulenstrasse,11,1967636
