line_name,Stops,Frequency,Length (time),type,east-west,year
7,"Glienicke, Kirche - Elsässer Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Industriebahn - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Pankow",12,34,bus,Ost,1971
8,Mahlsdorfer Allee - Hultschiner Damm - Sadowastrasse - Köpenicker Strasse - Oberfeldstrasse - Am Tierpark - U-Bhf. Friedrichsfelde ,10,33,bus,Ost,1971
9,Kurische Strasse - Hufelandstrasse - Königstor - Hans-Beimler-Strasse - Breite Strasse - Charlottenstrasse - Otto-Grotewohl-Strasse,8,16,bus,Ost,1971
16,Arkonaplatz - Brunnenstrasse - Rosenthaler Platz - Alexanderplatz - S-Bhf. Jannowitzbr. - Annenstrasse - Adalbertstrasse ,8,17,bus,Ost,1971
18,Adalbertstrasse - S-Bhf. Jannowitzbrücke - Alexanderplatz - Charlottenstrasse Ecke Französische Straße - Bhf. Friedrichstrasse - Schumannstrasse Ecke Reinhardtstrasse - Robert-Koch-Platz,6,20,bus,Ost,1971
18,Robert-Koch-Platz - Schumannstrasse - Albrechtstrasse - Friedrichstrasse - Bhf. Friedrichstrasse - Unter den Linden - Deutsche Staatsoper - Breite Strasse - U-Bhf. Märk. Museum - Annenstrasse - Melchiorstrasse - Adalbertstrasse ,15,16,bus ,Ost ,1971
22,"Hessenwinkel, Lutherstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Hamburger Strasse - Fichtenau, Post",20,37,bus ,Ost ,1971
23,"Falkenhöhe - S-Bhf. Grünbergallee - S-Bhf. Altglienicke - Wolfmarsteig - Altglienicke, Schönefelder Chaussee - Altglienicke, Kirche  ",20,20,bus ,Ost ,1971
26,VEB Bautransporte - Bhf. Schöneweide,7.5,5,bus,Ost,1971
27,"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse Ecke Alt-Kaulsdorf - Jägerstrasse - Gehsener Strasse -  S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Schloßplatz - Wendenschloßstrasse Ecke Müggelheimerstrasse - Köpenick, Krankenhaus - Müggelturm - Müggelheim ",10,41,bus ,Ost ,1971
30,Ostbahnhof - Warschauer Strasse - Holteistrasse - S-Bhf. Rummelsburg - Schlichtallee - Bhf. Lichtenberg - Obus- Betriebshof - VEB Elektrokohle - Roederplatz - Leninallee - Dimitroffstrasse - U-Bhf. Luxemburgerplatz - Rosenthaler Platz - Robert-Koch-Platz,13,66,bus ,Ost ,1971
31,"S-Bhf. Buch - Karowerstrasse - Alt-Karow - Blankenburg - Heinersd., Kirche - Prenzlauer Promenade - Ostseestrasse",10,30,bus,Ost,1971
32,H.- Beimler-Strasse - Leninplatz - K.- Marx-Allee - Ostbahnhof - S-Bhf. Jannowitzbr. - Spittelmarkt - U-Bhf. Thälmannplatz ,8,23,bus ,Ost ,1971
34,Alt-Stralau - Friedrich-Junge-Strasse - Corinthstrasse - Modersohnstrasse - Warschauer Strasse - Grünberger Strasse - U-Bhf. Marchlewskistrasse ,15,15,bus ,Ost ,1971
35,Pirolstrasse - Dohlengrund - Oberfeldstrasse - Am Tierpark - U-Bhf. Friedrichsfelde - Lincolnstrasse - S-Bhf. Nöldnerplatz ,0,20,bus ,Ost ,1971
36,"Zentralflughafen - Bhf. Schönefeld - S-Bhf. Grünbergallee - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau ",0,20,bus ,Ost ,1971
37,Bhf. Lichtenberg - Am Tierpark - S-Bhf. Biesdorf - Boschpoler Strasse - Alt-Marzahn - Marzahner Chaussee - Bürknersfelde - Dingelstädter Strasse - Weißenseer Weg - S-Bhf. Leninallee - Dimitroffstrasse,15,46,bus ,Ost ,1971
39,"Wartenberg, Siedlung - Wartenberg, Lindenbergerstrasse - Falkenberger Chaussee Ecke Wartenbergerstrasse - Falkenberger Strasse","7,5",13,bus ,Ost ,1971
40,Ostbahnhof - Karl-Marx-Allee - Leninplatz - U-Bhf. Luxemburgplatz - Rosenthaler Platz - Robert-Koch-Platz ,"7,5",20,bus ,Ost ,1971
42,"Buch - Karower Strasse - Alt-Karow - Blankenburg - Heinersd., Kirche - Prenzlauer Promenade - Ostseestrasse",10,31,bus,Ost,1971
