Line description,Stops,Frequency,Length (time),Length (km),year
1_bus_West,"Moabit, Waldstrasse - Turmstrasse - Alt-Moabit - Franklinstrasse - Otto-Suhr-Allee - Bismarckstrasse - Kantstrasse - Kurfürstendamm - Olivaer Platz - Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - Hildegardstrasse - Laubacher Strasse Ecke Südwestkorso - U-Bhf. Breitenbachplatz - U-Bhf. Dahlem-Dorf - Pacelli-/Thielallee - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Winfriedstrasse - Berliner Strasse - Rathaus Zehlendorf - Hampsteadstrasse Ecke Teltower Damm - Goerzallee - Lichterfelde, Lindenstrasse",12,66,,1976
10_bus_West,"Haselhorster Damm - Gartenfelder Strasse - Paulsternstrasse - Nonnendammallee - Grammestrasse - Wernerwerkdamm - Spandauer Damm - U-Bhf. Kaiserdamm - Funkturm/Omnibushf. - Dernburgstrasse - Amtgerichtsplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Herbertstrasse/BSC-Sportplatz - Elsterplatz - Hundekehlestrasse - Königen-Luise-Strasse/Museum Dahlem - U-Bhf. Thielplatz - Corrensplatz - Berliner Strasse - Teltower Damm - Rathaus Zehlendorf - Behring-Krankenhaus - Zehlendorf-Süd, Sachtlebenstrasse E. Lupsteiner Weg",12,,,1976
11_bus_West,Dahlem Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Garystrasse - Corrensplatz - Berliner Strasse - Adolf-Martens-Strasse - Drakestrasse - Gardeschützenweg - Hindenburgd./Wiesenbaude - Ostpreußendamm Ecke Königsbergerstrasse - Marienstrasse/Königswart. Krankenhaus - Morgensternstrasse - Kranoldplatz - Hildburghauser Strasse - Marienfelder Allee - Alt-Marienfelde - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Daimlerstrasse - Wilhelm-v.-Siemsens-Strasse - Alt-Mariendorf - U-Bhf. Alt-Mariendorf,7.5,43,,1976
12_bus_West,"Wedding, Bernauer Strasse - Voltastrasse Ecke Brunnenstrasse - Hussittenstrasse - Nettelbeckplatz - U-Bhf. Leopoldplatz - Limburger Strasse/Rathaus Wedding - U-Bhf. Seestrasse - Müllerstrasse - Barfusstrasse - Aroser Allee - Lindauer Allee - Am Nordgraben Ecke Roedernallee - Oranienburger Strasse - Eichborndamm - Alt-Wittenau - Cyclopstrasse - Waidmannsluster Damm - Dianastrasse Ecke Oraniendamm - Hermsdorfer Damm - Berliner Strasse - Zeltinger Platz - Ludolfinger Platz - Donnersmarckplatz - Maximiliankorso E. Hainbuchenstrasse",15,,,1976
13_bus_West,"Alt-Heiligensee - Heiligenseestrasse - Konradshöher Strasse Ecke Heiligenseestrasse - Karolinenstrasse - Alt-Tegel/U-Bhf. Tegel - Berlinerstrasse Ecke Gorkistrasse - Krankenhaus Tegel-Süd - Strasse nach Saatwinkel - Paulsternstrasse - Haselhorster Damm - Am Juliusturm - Carl-Schurz-Strasse - Spandau, Markt - Rathaus Spandau - Brunsbütteler Damm Ecke Klosterstrasse - Seeburgerstrasse - Schmidt-Knobelsdorf-Strasse - Adamstrasse - Am Omnisbushof - Heerstrasse Ecke Weinmeisterhornweg",13,,,1976
13_strassenbahn_Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Artur-Becker-Strasse - Leninallee - Bersarinplatz - Frankfurter Tor - Holteistrasse - Hauptstrasse (S-Bhf. Rummelsburg) - Kraftwerk Klingenberg - Blockdammweg Ecke Hönower Wiesenweg,15,36,,1976
14_bus_West,Gesundbrunnen Rügener Strasse - Rammlerstrasse Ecke Brunnenstrasse - U-Bhf. Osloer Strasse - Drontheimer Strasse - Pankower Allee - Emmentaler Strasse - Residenzstrasse - Aroser Allee - Roedernallee Ecke Oranienburgerstrasse - Ollenhauerstrasse Ecke Lindauer Allee - Karl-Bonhoeffer-Nerven-Klinik - Tessenowstrasse Ecke Oranienburgerstrasse - Jansenstrasse - Alt-Wittenau - Rathaus Reinickendorf - Hermsdorfer Strasse Ecke Alt-Wittenau -  Ziekow-/Eschnachstrasse - Berliner Strasse/U-Bhf. Tegel - Ruppiner Chausee - Heiligenseestrasse - Fährstrasse - Alt-Heiligensee,15,,,1976
14_strassenbahn_Ost,Artur-Becker-Strasse - Leninallee/Dimitroffstrasse - S-Bhf. Leninallee - Ho-Chi-Minh-Strasse - Degnerstrasse - Falkenberger Strasse,12,17,,1976
15_bus_West,"Waidmannslust Oraniendamm - Zabel-Krüger-Damm - Lübarser Strasse - Eichhorster Weg Ecke Finsterwalderstrasse - Steinkirchener Strasse - Oranienburger Strasse - Kinderheim - Alt-Wittenau, Kirche - Rathaus Reinickendorf - Pannwitzstrasse - Eichborndamm, Tor 5 - Olbendorfer Weg - Im Hufenschlag - Breitenbachstrasse - Holzhauser Strasse - Eschachstrasse/Ziekowstrasse - Berlinerstrasse Ecke Gorkistrasse - Alt-Tegel/U-Bhf. Tegel - Gabrielenstrasse - Karolinenstrasse - Donnersmarckplatz - Ludolfinger Platz - Zeltinger Platz - Frohnau Invalidensiedlung",20,,,1976
15_strassenbahn_Ost,Bhf. Berlin-Lichtenberg - Straßenbahn-Betriebshof - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Luxemburgplatz - Hackescher Markt,20,37,,1976
