,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Afrikanische Str. (Friedrich-Ebert-Siedlung),u-bahn,['6'],"52.560027777778,13.334633333333",Q559239,['6']+ ['6'],nan+ nan
1,Alt-Mariendorf,u-bahn,['6'],"52.4391,13.3877",Q262168,['6']+ ['6']+ ['6']+ 6+ 6+ 6,nan+ nan+ nan+ nan+ nan+ nan
2,Alt-Tempelhof,u-bahn,['6'],"52.465952777778,13.385897222222",Q559212,['6']+ ['6']+ ['6']+ 6+ 6+ 6,nan+ nan+ nan+ nan+ nan+ nan
3,Amrumer Str. (Rudolf-Virchow-Krankenhaus),u-bahn,['9'],"52.5425,13.350277777778",Q557577,['9']+ ['9'],nan+ nan
4,Anhalter Bahnhof,s-bahn,"['KBS 153', 'KBS 154', 'KBS 152']","52.503055555556,13.381944444444",Q111324573,"['KBS 105a', 'KBS 103', 'KBS 104a']+ ['KBS 105', 'KBS 104', 'KBS 105b', 'KBS 106']+ ['KBS 106', 'KBS 105', 'KBS 104']+ KBS 105,KBS 106,KBS 104+ KBS 104,KBS 105,KBS 106+ KBS 100d,KBS 100c,KBS 100e+ ['KBS 100c', 'KBS 100e', 'KBS 100d']+ ['KBS 154', 'KBS 153', 'KBS 152']+ ['KBS 153', 'KBS 152']+ 152,153+ 2,1",nan+ nan+ nan+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof+ nan+ nan+ nan+ nan+ nan
5,Augsburger Str.,u-bahn,['2'],"52.500556,13.336389",Q667035,"A II,B II+ A II+ ['2']+ ['2']",nan+ nan+ nan+ nan
6,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,['6'],"52.520111111111,13.388305555556",Q3753274,"['C I']+ C II,C I+ C I+ C I+ ['6']+ ['6']",nan+ Friedrichstraße metro station+ Friedrichstraße metro station+ Friedrichstraße metro station+ nan+ nan
7,Bahnhof Wedding,u-bahn,['6'],"52.5425,13.366111",Q4018733,"['C I']+ ['C I']+ C II,C I+ C I+ C I+ ['6']+ ['6']",nan+ nan+ U-Bahnhof Wedding+ U-Bahnhof Wedding+ U-Bahnhof Wedding+ nan+ nan
8,Bayerischer Platz,u-bahn,"['4', '7']","52.488333333333,13.340277777778",Q668574,"['B1']+ ['B I']+ ['B II']+ B III+ B III+ B I+ ['4']+ ['4', '7']+ ['7', '4']+ 7,4+ 7,4+ 7,4",nan+ nan+ nan+ Bayerischer Platz station+ Bayerischer Platz station+ Bayerischer Platz station+ nan+ nan+ nan+ nan+ nan+ nan
9,Bellevue,s-bahn,"['KBS 156', 'KBS 157']","52.52,13.348055555556",Q374018,"['KBS 101', 'KBS 100c']+ ['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 103,KBS 102,KBS 101+ KBS 101,KBS 102+ KBS 100h,KBS 100g+ ['KBS 100g', 'KBS 100h']+ ['KBS 157', 'KBS 156']+ ['KBS 156']+ 156+ 3+ 3",nan+ nan+ nan+ Berlin Bellevue station+ Berlin Bellevue station+ Berlin Bellevue station+ nan+ nan+ nan+ nan+ nan+ nan
10,Berliner Str.,u-bahn,"['9', '7']",,,,
11,Beusselstr.,s-bahn,"['KBS 158', 'KBS 150', 'KBS 159']","52.534444444444,13.329166666667",Q323219,"['KBS 100']+ ['KBS 100']+ ['KBS 100', 'KBS 103a']+ KBS 100,KBS 103a,KBS 100c+ KBS 100+ KBS 100a,KBS 100+ ['KBS 100a', 'KBS 100']+ ['KBS 150', 'KBS 158']",nan+ nan+ nan+ Berlin Beusselstraße station+ Berlin Beusselstraße station+ Berlin Beusselstraße station+ nan+ nan
12,Birkenstr.,u-bahn,['9'],"52.532222222222,13.341388888889",Q555998,['9']+ ['9'],nan+ nan
13,Blaschkoallee,u-bahn,['7'],"52.451944444444,13.449444444444",Q666911,C I+ ['7']+ ['7']+ ['7']+ 7+ 7+ 7,nan+ nan+ nan+ nan+ nan+ nan+ nan
14,Blissestr.,u-bahn,['7'],,,,
15,Boddinstr.,u-bahn,['8'],"52.48,13.425277777778",Q819495,['D']+ ['D']+ D+ D+ D+ ['8']+ ['8'],nan+ nan+ Boddinstraße+ Boddinstraße+ Boddinstraße+ nan+ nan
16,Borsigwerke,u-bahn,['6'],"52.5819,13.2907",Q525185,"C II,C I+ C I+ C I+ ['6']+ ['6']+ ['6']+ 6+ 6+ 6",Borsigwerke+ Borsigwerke+ Borsigwerke+ nan+ nan+ nan+ nan+ nan+ nan
17,Botanischer Garten,s-bahn,['KBS 154'],"52.44806,13.30722",Q800498,['KBS 104a']+ ['KBS 104']+ ['KBS 104']+ KBS 104+ KBS 104+ KBS 100e+ ['KBS 100e']+ ['KBS 154']+ 1,nan+ nan+ nan+ Berlin Botanischer Garten station+ Berlin Botanischer Garten station+ Berlin Botanischer Garten station+ nan+ nan+ nan
18,Breitenbachplatz,u-bahn,['2'],"52.466388888889,13.308055555556",Q571339,"['A2']+ ['A II']+ ['A II']+ B II,A II+ A II,B II+ A II+ ['2']+ ['2']+ ['2']+ 2+ 2+ 2",nan+ nan+ nan+ Breitenbachplatz metro station+ Breitenbachplatz metro station+ Breitenbachplatz metro station+ nan+ nan+ nan+ nan+ nan+ nan
19,Britz-Süd,u-bahn,['7'],"52.437777777778,13.448055555556",Q571845,C I+ ['7']+ ['7']+ ['7']+ 7+ 7+ 7,nan+ nan+ nan+ nan+ nan+ nan+ nan
20,Buckower Ch.,s-bahn,['KBS 152'],"52.4103,13.3829",Q800499,['KBS 105a']+ ['KBS 105b']+ ['KBS 105']+ KBS 105+ KBS 105+ KBS 100c+ ['KBS 100c']+ ['KBS 152']+ ['KBS 152'],nan+ nan+ nan+ Buckower Chaussee station+ Buckower Chaussee station+ Buckower Chaussee station+ nan+ nan+ nan
21,Bundesplatz,u-bahn,['9'],"52.478080555556,13.328519444444",Q3647008,['9']+ ['9']+ 9+ 9+ 9,nan+ nan+ nan+ nan+ nan
