,stop_name,line_count,type,in_lines
0,Schlesisches Tor,1,u-bahn,['1']
1,Görlitzer Bahnhof (Oranienstr.),1,u-bahn,['1']
2,Kottbusser Tor,2,u-bahn,"['8', '1']"
3,Prinzenstr.,1,u-bahn,['1']
4,Hallesches Tor,2,u-bahn,"['6', '1']"
5,Möckernbrücke,2,u-bahn,"['7', '1']"
6,Gleisdreieck,1,u-bahn,['1']
7,Kurfürstenstr.,1,u-bahn,['1']
8,Nollendorfplatz,2,u-bahn,"['4', '1']"
9,Wittenbergplatz,3,u-bahn,"['1', '2', '3']"
10,Zoologischer Garten,4,u-bahn,"['9', '1']"
11,Zoologischer Garten,4,s-bahn,"['KBS 156', 'KBS 157']"
12,Ernst-Reuter-Platz,1,u-bahn,['1']
13,Deutsche Oper (Bismarckstr.),1,u-bahn,['1']
14,Sophie-Charlotte-Platz,1,u-bahn,['1']
15,Kaiserdamm,1,u-bahn,['1']
16,Theodor-Heuss-Platz,1,u-bahn,['1']
17,Neu-Westend,1,u-bahn,['1']
18,Olympia-Stadion,1,u-bahn,['1']
19,Ruhleben,1,u-bahn,['1']
20,Wittenbergplatz,3,u-bahn,"['1', '2', '3']"
21,Augsburger Str.,1,u-bahn,['2']
22,Spichernstr. (Bundesallee),2,u-bahn,"['9', '2']"
23,Hohenzollernplatz,1,u-bahn,['2']
24,Fehrbelliner Platz,2,u-bahn,"['7', '2']"
25,Heidelberger Platz,1,u-bahn,['2']
26,Rüdesheimer Platz,1,u-bahn,['2']
27,Breitenbachplatz,1,u-bahn,['2']
28,Podbielskiallee,1,u-bahn,['2']
29,Dahlem-Dorf,1,u-bahn,['2']
30,Thielplatz,1,u-bahn,['2']
31,Oskar-Helene-Heim,1,u-bahn,['2']
32,Onkel Toms Hütte,1,u-bahn,['2']
33,Krumme Lanke,1,u-bahn,['2']
34,Wittenbergplatz,3,u-bahn,"['1', '2', '3']"
35,Kurfürstendamm (Joachimstaler Str.),2,u-bahn,"['9', '3']"
36,Uhlandstr.,1,u-bahn,['3']
37,Nollendorfplatz,2,u-bahn,"['4', '1']"
38,Viktoria-Luise-Platz,1,u-bahn,['4']
39,Bayerischer Platz,2,u-bahn,"['4', '7']"
40,Rathaus Schöneberg,1,u-bahn,['4']
41,Innsbrucker Platz (Hauptstr.),1,u-bahn,['4']
42,Tegel,3,u-bahn,['6']
43,Tegel,3,s-bahn,"['KBS 153', 'KBS 152']"
44,Borsigwerke,1,u-bahn,['6']
45,Holzhauser Str.,1,u-bahn,['6']
46,Seidelstr. (Flughafen Tegel),1,u-bahn,['6']
47,Scharnweberstr. (Eichborndamm),1,u-bahn,['6']
48,Kurt-Schumacher-Platz,1,u-bahn,['6']
49,Afrikanische Str. (Friedrich-Ebert-Siedlung),1,u-bahn,['6']
50,Rehberge,1,u-bahn,['6']
51,Seestr.,1,u-bahn,['6']
52,Leopoldplatz,2,u-bahn,"['9', '6']"
53,Bahnhof Wedding,1,u-bahn,['6']
54,Reinickendorfer Str.,1,u-bahn,['6']
55,Bahnhof Friedrichstr. (Stadtbahn),1,u-bahn,['6']
56,Kochstr.,1,u-bahn,['6']
57,Hallesches Tor,2,u-bahn,"['6', '1']"
58,Mehringdamm,2,u-bahn,"['6', '7']"
59,Flughafen,1,u-bahn,['6']
60,Paradestr.,1,u-bahn,['6']
61,Tempelhof,2,u-bahn,['6']
62,Tempelhof,2,s-bahn,['KBS 150']
63,Alt-Tempelhof,1,u-bahn,['6']
64,Kaiserin-Augusta-Str.,1,u-bahn,['6']
65,Ullsteinstr.,1,u-bahn,['6']
66,Westpfahlweg,1,u-bahn,['6']
67,Alt-Mariendorf,1,u-bahn,['6']
68,Fehrbelliner Platz,2,u-bahn,"['7', '2']"
69,Blissestr.,1,u-bahn,['7']
70,Berliner Str.,2,u-bahn,"['9', '7']"
71,Bayerischer Platz,2,u-bahn,"['4', '7']"
72,Eisenacher Str.,1,u-bahn,['7']
73,Kleistpark,1,u-bahn,['7']
74,Yorckstr.,1,u-bahn,['7']
75,Möckernbrücke,2,u-bahn,"['7', '1']"
76,Mehringdamm,2,u-bahn,"['6', '7']"
77,Gneisenaustr.,1,u-bahn,['7']
78,Südstern,1,u-bahn,['7']
79,Hermannplatz,2,u-bahn,"['7', '8']"
80,Rathaus Neukölln,1,u-bahn,['7']
81,Karl-Marx-Str.,1,u-bahn,['7']
82,Neukölln,2,u-bahn,['7']
83,Neukölln,2,s-bahn,['KBS 150']
84,Grenzallee,1,u-bahn,['7']
85,Blaschkoallee,1,u-bahn,['7']
86,Parchimer Allee,1,u-bahn,['7']
87,Britz-Süd,1,u-bahn,['7']
88,Johannisthaler Ch. (Gropiusstadt),1,u-bahn,['7']
89,Lipschitzallee,1,u-bahn,['7']
90,Wutzkyallee,1,u-bahn,['7']
91,Zwickauer Damm,1,u-bahn,['7']
92,Rudow,1,u-bahn,['7']
93,Gesundbrunnen,5,u-bahn,['8']
94,Gesundbrunnen,5,s-bahn,"['KBS 153', 'KBS 154', 'KBS 150', 'KBS 152']"
95,Voltastr.,1,u-bahn,['8']
96,Moritzplatz,1,u-bahn,['8']
97,Kottbusser Tor,2,u-bahn,"['8', '1']"
98,Kottbusser Damm (Schönleinstr.),1,u-bahn,['8']
99,Hermannplatz,2,u-bahn,"['7', '8']"
100,Boddinstr.,1,u-bahn,['8']
101,Leinestr.,1,u-bahn,['8']
102,Osloer Str.,1,u-bahn,['9']
103,Nauener Platz,1,u-bahn,['9']
104,Leopoldplatz,2,u-bahn,"['9', '6']"
105,Amrumer Str. (Rudolf-Virchow-Krankenhaus),1,u-bahn,['9']
