line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
1,bus,West,"Moabit, Waldstrasse - Turmstrasse - Alt-Moabit - Franklinstrasse - Otto-Suhr-Allee - Bismarckstrasse - Kantstrasse - Kurfürstendamm - Olivaer Platz - U-Bhf. Konstanzerstrasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - Hildegardstrasse - Laubacherstrasse - U-Bhf. Breitenbachplatz - U-Bhf. Dahlem-Dorf - Pacelli-/Thielallee - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Winfriedstrasse - Berlinerstrasse -  Rathaus Zehlendorf - Hampsteadstrasse - Wismarerstrasse - Lichterfelde, Lindenstrasse",12,66,,1980,
10,bus,West,"Haselhorster Damm - Gartenfelderstrasse - Paulsternstrasse - Nonnendammallee - U-Bhf. Rohrdamm - Fürstenbrunner Weg/Friedhof -  Spandauer Damm - U-Bhf. Kaiserdamm - ICC/Omnibusbahnhof - Dernburgstrasse - Amtgerichtsplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Herbertstrasse/BSC-Sportplatz - Elsterplatz - Hundekehlestrasse - Königen-Luise-Strasse/Museum Dahlem - U-Bhf. Thielplatz - Corrensplatz - Berlinerstrasse - Teltower Damm - Rathaus Zehlendorf - Behring-Krankenhaus - Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",12,67,,1980,
11,bus,West,Dahlem Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Garystrasse - Corrensplatz - Berlinerstrasse - Adolf-Martens-Strasse - Drakestrasse - Gardeschützenweg - Hindenburgdamm/Wiesenbaude - Ostpreußendamm - Marienstrasse/Königswarter Krankenhaus - Morgensternstrasse - Kranoldplatz - Hildburghauserstrasse - Marienfelder Allee - Alt-Marienfelde - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Daimlerstrasse - Wilhelm-von-Siemens-Strasse - Alt-Mariendorf - U-Bhf. Alt-Mariendorf,7.5,43,,1980,
11,strassenbahn,Ost,S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Genslerstrasse - Zechlinerstrasse - Mittelstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Platz - Veteranenstrasse - Chausseestrasse - Stadion der Weltjugend,20,47,,1980,
12,bus,West,"Wedding, Bernauerstrasse - Voltastrasse - Scheringstrasse - Nettelbeckplatz - U-Bhf. Leopoldplatz - Limburgerstrasse/Rathaus Wedding - U-Bhf. Seestrasse - Barfusstrasse - Holländerstrasse - Emmentalerstrasse - Roedernallee - Am Nordgraben - Oranienburgerstrasse - Eichborndamm - Hermsdorferstrasse - Cyclopstrasse - Zabel-Krüger-Damm - Dianastrasse - Hermsdorfer Damm - Burgfrauenstrasse - Zeltinger Platz - Ludolfinger Platz - Donnersmarckplatz - Maximiliankorso Ecke Hainbuchenstrasse",15,63,,1980,
12,strassenbahn,Ost,S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Genslerstrasse - Zechlinerstrasse - Mittelstrasse - Ho-Chi-Minh-Strasse - Leninallee - Herzbergstrasse - U-Bhf. / S-Bhf Frankfurter Allee - Müggelstrasse,20,27,,1980,
12E,bus,West,U-Bhf. Leopoldplatz - U-Bhf. Seestrasse - Türkenstrasse - Holländerstrasse - Emmentalerstrasse - Lindauer Allee - Flottenstrasse - Oranienburgerstrasse - Eichborndamm - Lange Enden - Zabel-Krüger-Damm - Schildowerstrasse - Hermsdorfer Damm - Veltheimstrasse - Hohefeldstrasse - Im Fischgrund - Fürstendamm - Zeltinger Platz,20,,,1980,Fährt zusätzlich im Berufsverkehr zwischen U-Bhf. Leopoldplatz und Zeitinger Platz
13,bus,West,Alt-Heiligensee - Heiligenseestrasse - Konradshöherstrasse - Karolinenstrasse - U-Bhf. Tegel - U-Bhf. Borsigwerke - U-Bhf. Holzhauserstrasse - Krankenhaus Tegel-Süd - Straße nach Saatwinkel - Paulsternstrasse - Haselhorster Damm - Am Juliusturm - Carl-Schurz-Strasse - Rathaus Spandau - Brunsbütteler Damm - Seeburgerstrasse - Päwesiner Weg - Kolonie Hasenheide - Adamstrasse - Am Omnibushof - Heerstrasse - Spandau Weinmeisterhornweg,12,68,,1980,
13,strassenbahn,Ost,Eberswalderstrasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalderstrasse - Artur-Becker-Strasse - Leninallee - Frankfurter Tor - Holteistrasse - Hauptstrasse - VEB Chemiehandel - Kraftwerk Klingenberg - Hönower Wiesenweg,10,40,,1980,
14,bus,West,U-Bhf. Osloerstrasse - Drontheimerstrasse - Pankower Allee - Emmentalerstrasse - Residenzstrasse - Aroser Allee - Roedernallee - Ollenhauerstrasse - Karl-Bonhoeffer-Nervenklinik - Tessenowstrasse - Jansenstrasse - Alt-Wittenau - Eichborndamm - Hermsdorferstrasse - Ziekowstrasse - U-Bhf. Tegel - Ruppiner Chausee - Diakoniezentrum - Hennigsdorferstrasse - Heiligenseestrasse - Fährstrasse - Alt-Heiligensee,15,60,,1980,
14E,bus,West,Alt-Heiligensee - Fährstrasse - Havelblick - Strandbad Heiligensee - Gemeindefriedhof - Rallenweg - Rohrweihstrasse - Sperberstrasse - Habichtstrasse/Strandbad - Falkenplatz,30,9,,1980,
