,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Achtermannstrasse,bus,{'52'},"52.57652468032656, 13.418517187666131",nan,['52'],
1,Adalbertstrasse,bus,"{'78', '78E'}","52.50548699996121, 13.42221404498021",nan,"['78', '75', '78E']",
2,Adamstrasse,bus,"{'97', '13', '35', '34'}",,,,
3,Adamstrasse/Wilhelmstrasse,bus,{'92'},,,,
4,Adenauer Platz,u-bahn,{'7'},,,,
5,Adlershof,s-bahn,"{'141', '115', '140', '110'}",,,,
6,Adolf-Martens-Strasse,bus,{'11'},"52.4439303939079, 13.288858198599703",nan,['11'],
7,Adolf-Scheidt-Platz/Krankenhaus,bus,{'96'},"52.47818518185836, 13.37828632745728",nan,['96'],
8,Afrikanische Strasse,bus,"{'89', '65'}",,,,
9,Afrikanische Strasse,u-bahn,{'6'},,,,
10,Ahrensdorfer Strasse,bus,{'52'},,,,
11,"Ahrensfelde, Kirche",bus,{'41'},"52.57532251281871, 13.576456279814597",nan,['41'],
12,Akademie der Wissenschaften,bus,{'51E'},,,,
13,Albertstrasse,bus,{'48'},"52.4844490887776, 13.352821218973295",nan,['48'],
14,Alboinplatz,bus,{'74'},,,,
15,Alboinstrasse,bus,"{'74', '73', '68', '25', '65'}",,,,
16,Albrechtstrasse,bus,"{'96', '84', '68', '2', '17', '81', '30', '83'}",,,,
17,Alexanderplatz,bus,"{'78', '9', '78E'}","52.5219449,13.4143847",nan,"['78', '9', '78E', '112']",
18,Alexanderplatz,s-bahn,"{'143', '100', '115', '105', '110'}",,,,
19,Alexanderplatz,u-bahn,"{'A', 'E'}","52.5214,13.4119",Q17173458,"['E', 'A']",
20,Alexanderstrasse,bus,{'79'},"52.51778540833277, 13.418077932963259",nan,['79'],
21,Alexandrinenstrasse,bus,"{'41', '29'}","52.50514667360263, 13.4052810548807",nan,"['41', '29']",
22,Allee der Kosmonauten,bus,{'53'},"52.54468067619617, 13.56457587733865",nan,['53'],
23,Allee der Kosmonauten,strassenbahn,"{'17', '19'}","52.5259894,13.5186756",Q65683164,"['19', '17']",
24,Alsen-/Fregestrasse,bus,"{'76', '2'}",,,,
25,Alsen-/Fregstrasse,bus,{'81'},"52.46374242546418, 13.331639020201665",nan,['81'],
26,Alt-Blankenburg,bus,"{'42', '31'}","52.59317785157442, 13.454731457303565",nan,"['42', '31']",
27,Alt-Buckow,bus,{'91'},,,,
28,Alt-Heiligensee,bus,"{'14E', '13', '14'}","52.60510283029124, 13.209634214081166",nan,"['14E', '13', '14']",
29,Alt-Karow,bus,"{'42', '31'}","52.60931228539711, 13.481265848599735",nan,"['42', '31']",
30,Alt-Kaulsdorf,bus,{'27'},,,,
31,Alt-Lankwitz,bus,{'81'},"52.43848298401557, 13.354194783337245",nan,['81'],
32,"Alt-Lankwitz, Dorfaue",bus,{'81'},"52.43908382575332, 13.354417745001864",nan,['81'],
33,Alt-Lankwitz/Krankenhaus,bus,{'96'},"52.43730490015878, 13.358440903360284",nan,['96'],
34,Alt-Lichtenrade,bus,"{'79', '30'}","52.39426173436838, 13.41108129819545",nan,"['30', '79']",
35,Alt-Mahlsdorf,strassenbahn,{'83'},"52.5051992,13.6133347",Q66364530,['83'],
36,Alt-Mariendorf,bus,"{'93', '77', '81', '11'}",,,,
37,Alt-Mariendorf,u-bahn,{'6'},"52.4391,13.3877",Q262168,['6'],
38,Alt-Marienfelde,bus,"{'52', '11'}","52.413385082183694, 13.36338063003787",nan,"['11', '52']",
39,Alt-Marzahn,bus,"{'54', '92'}","52.54208620315265, 13.563823392369315",nan,"['92', '54']",
40,Alt-Moabit,bus,"{'24', '1', '90', '16'}",,,,
41,Alt-Müggelheim,bus,{'27'},"52.41018331064196, 13.665897531850348",nan,['27'],
42,Alt-Rudow,bus,{'57'},"52.41770072121206, 13.49572951039219",nan,['57'],
43,Alt-Rüdersdorf,strassenbahn,{'S-Bhf. Friedrichshagen <> Rüdersdorf'},,,,
44,Alt-Stralau,bus,{'34'},"52.49250215076991, 13.477901745330643",nan,['34'],
45,Alt-Tegel/U-Bhf. Tegel,bus,"{'20', '15'}","52.58989357817254, 13.283311087588116",nan,"['15', '20']",
46,Alt-Tempelhof,u-bahn,{'6'},"52.465952777778,13.385897222222",Q559212,['6'],
47,Alt-Wittenau,bus,"{'21', '62', '14'}",,,,
48,"Alt-Wittenau, Kirche",bus,{'15'},"52.591892471479916, 13.3264195185693",nan,['15'],
49,Alte Jakobstrasse,bus,"{'41', '95', '29'}",,,,
50,Altglienicke,s-bahn,"{'115', '140'}",,,,
51,"Altglienicke, Kirche",bus,{'23'},"52.421845729296805, 13.539407702079252",nan,['23'],
52,"Altglienicke, Kirche",strassenbahn,{'84'},"52.421845729296805, 13.539407702079252",nan,['84'],
53,Am Beelitzhof,bus,{'66'},,,,
54,Am Eichenquast,bus,{'91'},,,,
55,Am Falkenberg,strassenbahn,{'84'},"52.41079970042163, 13.570452931545786",nan,['84'],
56,Am Faulen See,strassenbahn,{'70'},,,,
57,Am Friedrichshain,bus,"{'57', '9', '40', '32'}","52.52873150888438, 13.424352760138131",nan,"['9', '32', '57', '40']",
58,Am Graben,bus,{'35'},"52.47903536411806, 13.17933172348599",nan,['35'],
59,Am Großen Wannsee,bus,"{'18', '3', '66'}",,,,
60,Am Heidefriedhof,bus,{'81'},"52.43998235203173, 13.393010546456246",nan,['81'],
61,Am Juliusturm,bus,"{'13', '55'}","52.539578710212595, 13.2054936901799","nan, nan","['55', '13'], ['97']",
62,Am Kiesteich,bus,{'5'},"52.551166212587965, 13.165323363657249",nan,['5'],
63,Am Kleinen Wannsee,bus,{'6'},,,,
64,Am Kupfergraben,strassenbahn,"{'22', '71', '46', '70'}","52.5194208,13.3953839",Q65055027,"['70', '71', '46', '22']",
65,Am Nordgraben,bus,"{'22', '12'}","52.588108073077045, 13.33987637535727",nan,"['12', '22']",
66,Am Nordhafen,bus,"{'90', '83', '70'}",,,,
67,Am Omnibushof,bus,"{'13', '35'}","52.517897245023185, 13.18497677087069",nan,"['13', '35']",
68,Am Pilz,bus,{'15'},"52.64251497264632, 13.300908054411988",nan,['15'],
69,Am Rosenhag,bus,"{'44', '95'}","52.52474356253909, 13.621775828105108",nan,"['44', '95']",
70,Am Rötepfuhl,bus,{'79'},,,,
71,Am Sandwerder,bus,{'66'},,,,
72,Am Steinberg,bus,"{'45', '42', '31'}","52.55648144940878, 13.429306764151775",nan,"['45', '42', '31']",
73,Am Steinberg,strassenbahn,{'71'},"52.5585796,13.4333751",Q65103320,['71'],
74,Am Vierrutenberg,bus,{'20'},"52.613535544271876, 13.343827205969221",nan,['20'],
75,Am Volkspark,bus,{'86'},"52.483222065143515, 13.32036833862448",nan,['86'],
76,Amalienpark,strassenbahn,{'49'},,,,
77,Amalienstrasse,bus,{'96'},"52.430150812046016, 13.334039923561416",nan,['96'],
78,Amfortasweg,bus,{'88'},"52.4458677095568, 13.324594238605897",nan,['88'],
79,Amrumer Strasse,bus,{'16'},,,,
80,Amrumer Strasse,u-bahn,{'9'},,,,
81,Amtgerichtsplatz,bus,{'10'},"52.50682826380543, 13.295178534915353",nan,['10'],
82,Amtsgericht Charlottenburg,bus,{'21'},"52.50571853839105, 13.295347400894903",nan,['21'],
83,An den Achterhöfen,bus,"{'78', '91'}",,,,
84,An der Heilandsweide,bus,"{'32', '11'}","52.41760670857809, 13.366580060034295",nan,"['11', '32']",
85,An der Rehwiese,bus,"{'3', '53'}","52.43422344388058, 13.199161827610604",nan,['53'],
86,An der Urania,bus,{'29'},"52.50313263781954, 13.3499093331407",nan,['29'],
87,Anemonenstrasse,bus,{'68'},"52.44348370546986, 13.593511422511465",nan,['68'],
88,Anhalter Bahnhof,s-bahn,"{'152', '153'}",,,,
89,Annenstrasse,bus,"{'54', '43', '78E'}",,,,
90,Antonplatz,strassenbahn,"{'3', '24', '70', '20', '72'}","52.5484803,13.4517416",Q65548849,"['24', '20', '28', '72', '3', '70']",
91,Arkonaplatz,bus,"{'78', '78E'}","52.53753415367688, 13.401767623579223",nan,"['78', '78E']",
92,Arnikaweg,bus,{'41'},"52.43011081467595, 13.477429437980076",nan,['41'],
93,Arnimstrasse,bus,{'39'},"52.55810653253893, 13.515860697561052",nan,['39'],
94,Aroser Allee,bus,"{'22', '8', '14'}","52.57376245122369, 13.351970705456408+52.57376706520514, 13.35201441269534",nan,"['22', '14']+ ['8']",
95,Artur-Becker-Strasse,bus,"{'54', '30'}","52.532128259520775, 13.441464475643278",nan,"['30', '54']",
96,Artur-Becker-Strasse,strassenbahn,"{'4', '13', '21', '19'}","52.5325286,13.4406868",Q65707391,"['19', '13', '21', '4']",
97,Artur-Becker-Strasse Ecke Michelangelostrasse,bus,{'57'},"52.54132663209953, 13.455252354589401",nan,['57'],
98,Asbestweg,bus,{'78'},,,,
99,Askanierring,bus,"{'63', '34'}","52.545679974269035, 13.194267325495874",nan,['63'],
100,Askanischer Platz,bus,"{'24', '29'}","52.50447796179715, 13.38228227112231",nan,"['24', '75', '29']",
101,Attilaplatz,bus,"{'68', '96', '25'}",,,,
102,Attilastrasse,bus,"{'76', '33'}",,,,
103,Augsburger Strasse,bus,{'82'},,,,
104,Augsburger Strasse,u-bahn,{'2'},,,,
105,Auguste-Viktoria-Allee,bus,{'62'},"52.569268504658915, 13.329801350092811",nan,['62'],
106,Auguste-Viktoria-Krankenhaus,bus,{'25'},"52.4590671738712, 13.348491313406196",nan,['25'],
107,Ausstellungshallen,bus,"{'4', '92'}",,,,
108,Avus-Einfahrt Nikolassee,bus,{'66'},,,,
109,BMW-Maschinenfabrik,bus,{'55'},"52.537251895204555, 13.223205797129593",nan,['55'],
110,BWF Marzahn,strassenbahn,"{'12', '11'}","52.53886802247272, 13.533795479358202",nan,"['11', '12']",
111,Baerwaldstrasse,bus,{'95'},"52.49400261608628, 13.402912697183803",nan,['95'],
112,Bahnhof,bus,"{'361', '362'}",,,,
113,Bahnhofstrasse,strassenbahn,{'82'},,,,
114,Bamberger Strasse,bus,{'82'},,,,
115,Barbarossastrasse,bus,"{'73', '85'}",,,,
116,Barfusstrasse,bus,{'12'},"52.554307201956135, 13.345153941265151",nan,['12'],
117,Barnetstrasse,bus,"{'76E', '76', '82'}",,,,
118,Baumschulenstrasse,bus,{'66'},"52.460823690124585, 13.503654622533428",nan,"['65', '66']",
119,Baumschulenweg,s-bahn,"{'141', '140', '142', '143', '115', '110'}",,,,
120,Baußnernweg,bus,{'52'},"52.40552764373322, 13.356400744655776",nan,['52'],
121,Bayerischer Platz,u-bahn,"{'4', '7'}","52.488333333333,13.340277777778",Q668574,"['7', '4']",
122,Bayernring,bus,{'96'},"52.48253685459361, 13.381049547471969",nan,['96'],
123,Bayreuther Strasse,bus,"{'69', '9'}",,,,
124,Behring-Krankenhaus,bus,{'10'},"52.42410894567823, 13.251764544509987",nan,['10'],
125,Bellevue,s-bahn,{'156'},,,,
126,Belßstrasse,bus,"{'30', '83', '32'}",,,,
127,Bendastrasse,bus,"{'77', '65'}",,,,
128,Bergfelde,s-bahn,{'140'},,,,
129,Berghof,strassenbahn,{'S-Bhf. Friedrichshagen <> Rüdersdorf'},,,,
130,Berghof-Weiche,strassenbahn,{'S-Bhf. Friedrichshagen <> Rüdersdorf'},,,,
131,Bergiusstrasse,bus,{'77'},,,,
132,Bergstrasse,bus,"{'68', '2', '81', '83'}",,,,
133,Bergstrasse/Sternwarte und Planetarium,bus,{'76'},,,,
134,Berkaer Strasse,bus,"{'17', '60'}",,,,
135,Berkaer Strasse/ Elsterplatz,bus,{'50'},,,,
136,Berlichingenstrasse,bus,"{'89', '70'}","52.52781016393892, 13.324880288269696",nan,"['70', '89']",
137,Berliner Strasse,bus,"{'21', '1', '50', '11', '10', '48'}",,,,
138,Berliner Strasse,strassenbahn,{'63'},,,,
139,Berliner Strasse,u-bahn,"{'7', '9'}",,,,
140,Berlinickeplatz,bus,"{'73', '96', '65'}",,,,
141,Bernau,s-bahn,{'141'},,,,
142,Bernauer Strasse,bus,{'90'},,,,
143,Bernauer Strasse Ecke Wolliner Strasse,bus,{'90'},,,,
144,Bernauer Strasse Ecke Wollinger Strasse,bus,{'64'},,,,
145,Berner Strasse,bus,{'84'},,,,
146,Bernhard-Beyer-Strasse,bus,{'18'},"52.391758854827614, 13.13183862470428",nan,['18'],
