,stop_id,stop_name,type,location,in_lines,identifier
0,19840,Achtermannstrasse,bus,"52.57652468032656, 13.418517187666131",{'52'},nan
1,19841,Adalbertstrasse,bus,"52.50548699996121, 13.42221404498021","{'75', '78E', '78'}",nan
2,19842,Adamstrasse,bus,"52.521029117218866, 13.19780699419913","{'97', '34'}",nan
3,19843,Adamstrasse,bus,"52.52107002529741, 13.187973386740664","{'13', '35'}",nan
4,19844,Adamstrasse/Wilhelmstrasse,bus,"52.5210885080291, 13.18793717048703",{'92'},nan
5,19845,Adenauer Platz,u-bahn,"52.499722, 13.307222",{'7'},Q570939
6,19846,Adlergestell,strassenbahn,"52.3864124,13.633786",{'86'},Q66459670
7,19847,Adlershof,s-bahn,"52.434722222222,13.541388888889","{'141', '110', '140', '115'}",Q323551
8,19848,Adolf-Scheidt-Platz/Krankenhaus,bus,"52.47818518185836, 13.37828632745728",{'96'},nan
9,19849,Adolf-Schiedt-Platz,bus,"52.47820407312392, 13.378388543559256",{'96E'},nan
10,198410,Afrikanische Strasse,bus,"52.54630534791768, 13.343982606132034","{'89', '65'}",nan
11,198411,Afrikanische Strasse,u-bahn,"52.560027777778,13.334633333333",{'6'},Q559239
12,198412,Ahrensdorfer Strasse,bus,"52.40904426274492, 13.359316733496573",{'52'},nan
13,198413,"Ahrensfelde, Lindenberger Strasse",bus,"52.57534681022296, 13.576454584108735",{'41'},nan
14,198414,Akademie der Wissenschaften,bus,"52.6361286884856, 13.501898618531815",{'51E'},nan
15,198415,Albertinenstrasse,strassenbahn,"52.5497016,13.457371","{'28', '24'}",Q65548844
16,198416,Albertstrasse,bus,"52.4844490887776, 13.352821218973295",{'48'},nan
17,198417,Alboinplatz,bus,"52.46105995730699, 13.369787146273511",{'74'},nan
18,198418,Alboinstrasse,bus,"52.455726944420924, 13.369959548978303","{'25', '68'}",nan
19,198419,Alboinstrasse,bus,"52.469830364927105, 13.372107866799311","{'74', '65', '73'}",nan
