line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year
1,bus,West,"Moabit, Waldstrasse Ecke Turmstrasse - Turmstrasse - Alt-Moabit - Franklinstrasse - Otto-Suhr-Allee - Bismarckstrasse - Kantstrasse - Kurfürstendamm - Olivaer Platz - U-Bhf. Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - Hildegardstrasse - Laubacher Strasse - U-Bhf. Breitenbachplatz - U-Bhf. Dahlem-Dorf - Pacelli-/Thielallee - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Winfriedstrasse - Berliner Strasse - Rathaus Zehlendorf - Hampsteadstrasse - Wismarer Strasse - Lichterfelde, Lindenstrasse",10,66,,1984
10 SEV,bus,Ost,"Marzahn, Betriebshof - Marzahn, Kirche - Rebhuhnweg - Bruno-Baum-Strasse - S-Bhf. Marzahn - Franz-Stenzer-Strasse",60,9,,1984
10,bus,West,"Haselhorster Damm - Gartenfelder Strasse - Paulsternstrasse - Nonnendammallee - U-Bhf. Rohrdamm - Fürstenbrunner Weg/Friedhof - Spandauer Damm - U-Bhf. Kaiserdamm - ICC/Omnibusbahnhof - Dernburgstrasse - Amtgerichtsplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Herbertstrasse - Elsterplatz - Hundekehlestrasse - Königen-Luise-Strasse/Museum Dahlem - U-Bhf. Thielplatz - Corrensplatz - Berliner Strasse - Teltower Damm - Rathaus Zehlendorf - Behring-Krankenhaus - Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",12,67,,1984
11,bus,West,Dahlem Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Garystrasse - Corrensplatz - Berliner Strasse - Drakestrasse - Gardeschützenweg - Ringstrasse - Karwendelstrasse - Hindenburgdamm/Wiesenbaude - Ostpreußendamm - Marienstrasse - Morgensternstrasse - Kranoldplatz - Lange Strasse - Geraer Strasse - Georgenstrasse - Hildburghauser Strasse - Sondershauser Strasse - Stadtilmer Weg - Waldsassener Strasse - Marienfelder Allee - Alt-Marienfelde,15,35,,1984
11,strassenbahn,Ost,"Elisabethstrasse - Alt-Marzahn - Bruno-Leuschner-Strasse - Bruno-Baum-Strasse - S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Genslerstrasse - Zechliner Strasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Krankenhaus Friedrichshain - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Platz - Veteranenstrasse - Invalidenstrasse, Post - Stadion der Weltjugend - Pflugstrasse",10,56,,1984
12,bus,West,"Wedding, Bernauer Strasse - Voltastrasse - Scheringstrasse - Nettelbeckplatz - U-Bhf. Leopoldplatz - Limburger Strasse/Rathaus Wedding - U-Bhf. Seestrasse - Barfusstrasse - Holländerstrasse - Emmentaler Strasse - Roedernallee - Am Nordgraben - Oranienburger Strasse - Eichborndamm - Hermsdorfer Strasse - Cyclopstrasse - Zabel-Krüger-Damm - Dianastrasse - Hermsdorfer Damm - Burgfrauen Strasse - Zeltinger Platz - Ludolfinger Platz - Donnersmarckplatz - Maximiliankorso Ecke Hainbuchenstrasse",15,61,,1984
12,strassenbahn,Ost,"Marzahn, Henneckestrasse - Otto-Winzer-Strasse - Bruno-Baum-Strasse - S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Genslerstrasse - Zechliner Strasse - Ho-Chi-Minh-Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse",20,35,,1984
13,bus,West,Alt-Heiligensee - Heiligenseestrasse - Konradshöher Strasse - Karolinenstrasse - U-Bhf. Tegel - U-Bhf. Borsigwerke - U-Bhf. Holzhauser Strasse - Neheimer Strasse - Maienwerder Weg - Paulsternstrasse - Haselhorster Damm - Am Juliusturm - Zur Zitadelle - Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Adamstrasse - Am Omnibushof - Heerstrasse - Spandau Weinmeisterhornweg,12,66,,1984
13,strassenbahn,Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistrasse - Hauptstrasse - VEB Gummiwerke - Heizkraftwerk - Hönower Wiesenweg,10,40,,1984
14,bus,West,U-Bhf. Osloer Strasse - Drontheimer Strasse - Pankower Allee - Emmentaler Strasse - Residenzstrasse - Aroser Allee - Paracelsus-Bad - Ollenhauerstrasse - Karl-Bonhoeffer-Nervenklinik - Tessenowstrasse - Jansenstrasse - Alt-Wittenau - Eichborndamm - Hermsdorfer Strasse - Ziekow-/Eschnachstrasse - U-Bhf. Tegel - Ruppiner Chausee - Diakoniezentrum - Hennigsdorfer Strasse - Heiligenseestrasse - Fährstrasse - Alt-Heiligensee,15,60,,1984
