Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1,Aalemannufer,bus,{'97'},"52.5733104403596, 13.212604386897702",,,,
2,Adalbertstrasse,bus,"{'28', '41', '29'}","52.50129291709333, 13.419290274823087",,,,
3,Adamstrasse,bus,"{'31', '34', '97'}","52.521029117218866, 13.19780699419913",,,"['97', '34']+ ['13', '35']+ {'97', '34'}+ {'13', '35'}+ {'97', '34'}+ {'13', '35'}",
4,Adenauer Platz,u-bahn,{'7'},"52.499722, 13.307222",Q570939,,{'7'}+ {'7'},
5,Adlershof,s-bahn,"{'141', '115', '140', '110'}","52.434722222222,13.541388888889",Q323551,,"['KBS 141', 'KBS 140', 'KBS 115', 'KBS 110']+ {'141', '115', '140', '110'}+ {'141', '110', '140', '115'}",
6,Adolf-Martens-Strasse,bus,"{'48', '11'}","52.4439303939079, 13.288858198599703",,,['11']+ {'11'},
7,Adolf-Scheidt-Platz,bus,"{'96', '84'}","52.47821090531725, 13.378362193477425",,,,
8,Afrikanische Strasse,bus,{'64'},"52.54630534791768, 13.343982606132034",,,"{'89', '65'}+ {'89', '65'}",
9,Afrikanische Strasse,u-bahn,{'6'},"52.560027777778,13.334633333333",Q559239,,{'6'}+ {'6'},
10,Ahlener Weg,bus,{'96'},"52.41018636532425, 13.305096327494242",,,,
11,Ahrensfelde,strassenbahn,"{'14', '18', '12', '18E'}","52.5727427,13.5748224",Q65680009,"52.5727427,13.5748224",,
12,Ahrensdorfer Strasse,bus,{'11'},"52.40904426274492, 13.359316733496573",,,{'52'}+ {'52'},
13,Ahrensfelde,s-bahn,{'102'},"52.5711,13.5653",Q111307724,"52.5711,13.5653",,
14,Ahrensfelde,strassenbahn,{'110'},"52.5727427,13.5748224",Q65680009,"52.5727427,13.5748224",,
16,Albertinenstrasse,strassenbahn,"{'28', '24'}","52.5497016,13.457371",Q65548844,,"{'28', '24'}",
17,Albertstrasse,bus,"{'48', '4'}","52.4844490887776, 13.352821218973295",,,['48']+ {'48'}+ {'48'},
18,Alboinstrasse,bus,"{'25', '68'} ; {'73', '74'}","52.455726944420924, 13.369959548978303 ; 52.469830364927105, 13.372107866799311",,,,
19,Albrechtstrasse,bus,"{'96', '84', '68'} ; {'33'}","52.461538575992826, 13.376822231146619 ; 52.45315327156886, 13.331151200025692",,,,
20,Alexanderplatz,bus,{'9'},"52.5219449,13.4143847",,,"['78', '9', '78E', '112']+ {'78', '9', '78E'}+ {'78E', '9', '78'}",
21,Alexanderplatz,s-bahn,"{'100', '102', '115', '101', '110'}","52.521388888889,13.411944444444",Q111324700,"52.521388888889,13.411944444444",,
22,Alexanderplatz,u-bahn,"{'E', 'A'}","52.5214,13.4119",Q17173458,,"['E', 'A']+ {'A', 'E'}+ {'E', 'A'}",
23,Alexandrinenstrasse,bus,"{'41', '29'}","52.50514667360263, 13.4052810548807",,,"['41', '29']+ {'41', '29'}+ {'41'}",
24,Allee der Kosmonauten,strassenbahn,"{'16', '117'}","52.5259894,13.5186756",Q65683164,"52.5259894,13.5186756",,
25,Allee der Kosmonauten Ecke Rhinstrasse,strassenbahn,"{'17', '19'}","52.5259894,13.5186756",Q65683164,"52.5259894,13.5186756",,
26,Almazeile,bus,{'20'},"52.57055394314068, 13.231144617194559",,,,
27,Almutstrasse,bus,{'12'},"52.61487259810248, 13.317126459002127",,,,
28,Alt-Buckow,bus,{'91'},"52.42367373113363, 13.436635183302798",,,{'91'}+ {'91'},
29,Alt-Heiligensee,bus,"{'13', '14', '27'}","52.60510283029124, 13.209634214081166",,,,
30,Alt-Lankwitz,bus,"{'81', '84', '96'}","52.43848298401557, 13.354194783337245",,,,
31,Alt-Lichtenrade,bus,"{'79'} ; {'82', '78', '30'}","52.399164324940045, 13.409893933297578 ; 52.3942712199115, 13.411090669345343",,,,
32,Alt-Lübars,bus,{'20'},"52.618077245223354, 13.3545277751898",,,,
33,Alt-Mahlsdorf,strassenbahn,{'83'},"52.5051992,13.6133347",Q66364530,,['83']+ {'83'}+ {'83'},
34,Alt-Mariendorf,u-bahn,{'6'},"52.4391,13.3877",Q262168,,['6']+ {'6'}+ {'6'},
35,Alt-Marienfelde,bus,{'79'},"52.413385082183694, 13.36338063003787",,,"['11', '52']+ {'52', '11'}+ {'11', '79'}",
36,Alt-Marzahn,bus,{'80'},"52.54208620315265, 13.563823392369315",,,"['92', '54']+ {'54', '92'}+ {'99', '92', '91', '54', '95'}",
37,Alt-Marzahn,strassenbahn,"{'5', '18E', '10', '18', '11', '110', '117'}","52.541869,13.5636472",Q65681298,"52.541869,13.5636472",,
38,Alt-Moabit,bus,"{'1', '90'} ; {'24'}","52.52380039728512, 13.32970876502685 ; 52.523661599694925, 13.356860765439553",,,,
39,Alt-Müggelheim,bus,{'115'},"52.41018331064196, 13.665897531850348",,,['27']+ {'27'}+ {'27'},
40,Alt-Pichelsdorf,bus,{'94'},"52.51323191124814, 13.196075876012538",,,,
41,Alt-Reinickendorf,bus,"{'22', '8'}","52.574266616811165, 13.359104073379417",,,,
42,Alt-Schmöckwitz,strassenbahn,"{'124', '86'}","52.3752767,13.649549",Q66459540,"52.3752767,13.649549",,
43,Alt-Tempelhof,u-bahn,{'6'},"52.465952777778,13.385897222222",Q559212,,['6']+ {'6'}+ {'6'},
44,Alt-Wittenau,bus,"{'15', '21', '64', '14', '26', '62'} ; {'22'}","52.58969906598296, 13.334242657555432 ; 52.58947352667074, 13.338861757244912",,,,
45,Alt-Wittenau/roedernallee,bus,{'12'},"52.58937448201057, 13.338921724230955",,,,
46,Alte Alllee,bus,{'69'},"52.491863318172165, 13.263455464213534",,,,
47,Alte Jakobstrasse,bus,"{'41', '29'}","52.506142489130255, 13.401714081179867",,,"['95']+ ['41', '29']+ {'95'}+ {'41', '29'}+ {'41'}",
48,Alte-Jakobstrasse,bus,{'95'},"52.5002692447757, 13.39706198217149",,,,
49,Altglienicke,s-bahn,"{'115', '140'}","52.4073,13.5588",Q4736651,,"['KBS 140', 'KBS 115']+ {'115', '140'}+ {'140', '115'}",
50,"Altglienicke, Kirche",bus,{'23'},"52.421845729296805, 13.539407702079252",,,['23']+ {'23'}+ {'23'},
51,"Altglienicke, Kirche",strassenbahn,"{'84', '114'}","52.421845729296805, 13.539407702079252",,,,
52,Altmarkstrasse,bus,{'68'} ; {'76'},"52.45883267385395, 13.34244502718679 ; 52.46303718976784, 13.342738343306689",,,,
53,Altstadt Spandau,u-bahn,{'7'},"52.538888888889,13.206388888889",Q571402,"52.538888888889,13.206388888889",,
54,Altstädter Ring,bus,{'63'},"52.53863114887998, 13.20072365952397",,,,
55,Am Birkenhügel,bus,{'18'},"52.411778850838175, 13.137747908083908",,,,
56,Am Birkenknick,bus,{'10'},"52.41517565297431, 13.266072690862536",,,,
57,Am Bogen,bus,{'92'},"52.552315584249754, 13.15948880688053",,,,
58,Am Brachfeldwinkel,bus,{'20'},"52.59836217591009, 13.29831159279189",,,,
59,Am Brandpfuhl,bus,{'93'},"52.4417734014742, 13.424861715835172",,,,
60,Am Dachsbau,bus,{'13'},"52.60655284387061, 13.22984370797522",,,,
61,Am Dianaplatz,bus,{'20'},"52.606727147275635, 13.312809212946904",,,,
62,Am Eichenquast,bus,{'91'},"52.41781715081436, 13.449467038795506",,,{'91'}+ {'91'},
63,Am Falkenberg,strassenbahn,"{'84', '114'}","52.41079970042163, 13.570452931545786",,,,
64,Am Faulen See,strassenbahn,{'70'},"52.5505971,13.4947298",Q66123506,,{'70'}+ {'70'},
65,Am Fischtal,bus,{'3'},"52.446544920731824, 13.258299284111082",,,,
66,Am Fließ,bus,{'15'},"52.6034575714732, 13.289613652822638",,,,
67,Am Friedrichshain,bus,{'9'},"52.52873150888438, 13.424352760138131",,,"['9', '32', '57', '40']+ {'57', '9', '40', '32'}+ {'40', '32', '57/E', '9'}",
68,Am Friedrichshain,strassenbahn,{'113'},"52.528512,13.4241398",Q65548972,"52.528512,13.4241398",,
69,Am Graben,bus,"{'36', '34', '35'}","52.47903894280096, 13.179293877143383",,,,
70,Am Großen Wannsee,bus,"{'3', '66', '18', '6'}","52.42051316636229, 13.167193939552037",,,,
71,Am Hegewinkel,bus,{'11'},"52.453653833722605, 13.263275828446185",,,,
72,Am Heidefriedhof,bus,"{'81', '93', '77'}","52.43998235203173, 13.393010546456246",,,['81']+ {'81'},
73,Am Hügel,bus,{'14'},"52.59390573222537, 13.316475420496932",,,,
74,Am Kesselpfuhl,bus,{'14'},"52.59304857266118, 13.311358122244556",,,,
75,Am Kiesteich,bus,"{'5', '92'}","52.55116793458805, 13.165433581104907",,,,
76,Am Kleinen Wannsee,bus,{'66'},"52.42038822283073, 13.166405542911209",,,{'6'},
77,Am Kupfergraben,strassenbahn,"{'71', '70', '121', '46', '22'}","52.5194208,13.3953839",Q65055027,"52.5194208,13.3953839",,
78,Am Nordgraben ; Am Nordgraben Ecke Oranienburgerstrasse,bus,"{'64', '14'} ; {'15', '64', '26', '21', '62'}","52.59205674224151, 13.306239907008253 ; 52.58750884902961, 13.334593970402263",,,,
79,Am Nordhafen,bus,{'90'},"52.53868315849872, 13.363248409190426",,,"['70']+ {'90', '83', '70'}+ {'70', '90'}",
80,Am Oberhafen,bus,{'41'},"52.46512193503729, 13.45121909363926",,,,
81,Am Omnibushof,bus,"{'13', '35'}","52.517897245023185, 13.18497677087069",,,"['13', '35']+ {'13', '35'}+ {'13', '35'}",
82,Am Pilz,bus,{'15'},"52.64251497264632, 13.300908054411988",,,['15']+ {'15'}+ {'15'},
83,Am Rohrgarten,bus,{'3'},"52.42649792470347, 13.227190829472208",,,,
84,Am Rötepfuhl,bus,{'79'},"52.41541586760276, 13.420508432549338",,,{'79'},
85,Am Sandwerder,bus,{'18'},"52.427237057183255, 13.186090014641609",,,,
87,Am Steinberg,strassenbahn,"{'113', '71'}","52.5585796,13.4333751",Q65103320,"52.5585796,13.4333751",,
88,Am Vierrutenberg,bus,{'20'},"52.613535544271876, 13.343827205969221",,,['20']+ {'20'}+ {'20'},
89,Am Volkspark,bus,"{'1', '60', '74'}","52.483272071407725, 13.32031410232607",,,,
90,Am Waldwinkel,bus,{'14'},"52.60900558018299, 13.257767219066817",,,,
91,Am Wasserwerk,strassenbahn,{'25'},"52.4560563,13.6419956",Q66362601,"52.4560563,13.6419956",,
92,Amalienstrasse,bus,"{'96', '84'}","52.430150812046016, 13.334039923561416",,,,
93,Amfortasweg,bus,{'88'},"52.4458677095568, 13.324594238605897",,,['88']+ {'88'}+ {'88'},
94,Amrumer Strasse,bus,{'89'},"52.5462955560136, 13.343933965140167",,,{'16'}+ {'16'},
95,Amrumer Strasse,u-bahn,{'9'},"52.5425,13.350277777778",Q557577,,{'9'}+ {'9'},
