line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Info
1,bus,West,"Moabit, Waldstrasse - Alt-Moabit - Franklinstrasse - Helmholtzstrasse - Guerickestrasse - Otto-Suhr-Allee - Bismarckstrasse - Goethestrasse - Kantstrasse - Kurfürstendamm - Düsseldorfer Strasse - U-Bhf. Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - Am Volkspark - Hildegardstrasse - Detmolder Strasse - Hanauer Strasse - Deidesheimer Strasse - Wiesbadener Strasse - Laubenheimer Strasse - U-Bhf. Breitenbachplatz - Englerallee - Rohlfsstrasse - Botanischer Garten - Arnimallee - Museum-Dahlem - U-Bhf. Dahlem-Dorf - Thielallee - Löhleinstrasse - Habelschwerdter A. - Ehrenbergstrasse - Unter den Eichen - Von-Laue-Strasse - Dahlemer Weg - Holländische Mühle - Sundgauer Strasse - Winfriedstrasse - Seehofstrasse - Teltower Damm - S-Bhf. Zehlendorf - Schönower Strasse - Schrockstrasse - Behring-Krankenhaus - Gutzmannstrasse - Ludwigsfelder Strasse - Nieritzweg - Windsteiner Weg - Lupsteiner Weg - Zehlendorf, Sachtlebenstrasse",15,60,,1989,
10,bus,West,"Lüdenscheider Weg  - Burscheider Weg - Gartenfelder Strasse - Paulsternstrasse - U-Bhf. Paulsternstrasse - Schaltwerk - U-Bhf. Rohrdamm - Quellweg - Wernerwerkdamm - Wasserwerk - Rohrdammbrücke - Friedhof Nordeingang - Friedhof Südeingang - Spandauer Damm - Knobelsdorffstrasse - U-Bhf. Kaiserdamm - Congress-Centrum - Dernburgstrasse - Kuno-Fischer-Strasse - Amtsgericht Charlottenburg - S-Bhf. Charlottenburg - Holtzendorffplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Bismarckplatz - Lynarstrasse - Herthastrasse - Delbrückstrasse - Elsterplatz - Rathhaus Schmargendorf - Hundekehlestrasse - Platz am Wilden Eber - Pacelliallee - Im Dol - Drosselweg - Thielalle - Im Gehege - Vogelsang - Clayallee/Königen-Luise-Strasse - Auf dem Grat - Hüttenweg - U-Bhf. Oskar-Helene-Heim - Krkhs. Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Schützallee - Scharfe Strasse/Stadtbad - Teltower Damm - S-Bhf. Zehlendorf - Machnower Strasse - Schweizerhof - Reha-Zentrum - Leo-Baeck-Strasse - Laehrstrasse - Nieritzweg - Am Birkenknick - Rendtorffstrasse - Beeskowdamm - Wupperstrasse - Goerzwerk - Persantestrasse - Darser Strasse - Platz des 4. Juli - Goerzallee 141-145 - Wismarer Strasse - Prettauer Pfad - Ostpreußendamm - Lichterfelde, Lindenstrasse",15,77,,1989,
10,strassenbahn,Ost,Betriebshof Marzahn - Otto-Buchwitz-Strasse - Alt-Marzahn - Elisabethstrasse - S-Bhf. Springpfuhl - Rhinstrasse - Leninallee - Gärtnerstrasse - Hauptstrasse - Stadion Buschallee - Sulzfelder Strasse - Falkenberger Strasse - Betriebshof Weißensee,20,34,,1989,
11,bus,West,Waldfriedhof - Am Hegewinkel - Argentinische Allee - U-Bhf. Oskar-Helene-Heim - Saargemünder Strasse - Garystrasse - Corrensplatz - Berliner Strasse - Adolf-Martens-Strasse - Drakestrasse - S-Bhf. Lichterfelde-West - Drakestrasse/Ringstrasse - Holbeinstrasse - Karwendelstrasse - Hindenburgdamm - Ostpreußendamm - Marienstrasse - Jungfernstieg - Kranoldplatz - Jägerstrasse - Lange Strasse - Geraer Strasse - Georgenstrasse - Hildburghauser Strasse - Sondershauser Strasse - Stadtilmer Weg - Weskammstrasse - Tirschenreuther Ring - Marienfelder Allee - Ahrensdorfer Strasse - Baußnernweg - Klausenburger Pfad,15,35,,1989,
11,strassenbahn,Ost,"Elisabethstrasse - Alt-Marzahn - Bruno-Leuschner-Strasse - Bruno-Baum-Strasse - S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Arendsweg - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - Prenzlauer Allee - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Platz - Brunnenstrasse - Invalidenstrasse, Post - Stadion der Weltjugend - Pflugstrasse",10,56,,1989,
12,bus,West,"Bergstrasse - Hussittenstrasse/Bernauer Strasse - Usedomer Strasse/Feldstrasse - Gustav-Meyer-Allee - U-Bhf. Humboldthain - Gerichtstrasse/Hochstrasse - Stadtbad Wedding - Nettelbeckplatz - U-Bhf. Reinickendorfer Strasse - U-Bhf. Wedding - Müller-/Gerichtstrasse - U-Bhf. Leopoldplatz - Rathaus Wedding - U-Bhf. Seestrasse - Türkenstrasse - Barfusstrasse/Müllerstrasse - Bristolstrasse - Hollanderweg - Grindelwaldstrasse - Emmentaler Strasse - Genfer Strasse - Lindauer Allee - U-Bhf. Paracelsus-Bad - Flottenstrasse - Tessenowstrasse - Schmitzweg - Alt-Wittenau/roedernallee - Oranienburger Strasse - Wittenau, Kirche - Hermsdorfer Strasse - Lange Enden - Jean-Jaurès-Strasse - S-Bhf. Waidmannslust - Oraniendamm - Zehntwerderweg/Dianastrasse - Almutstrasse - Schildower Strasse - Wachsmuthstrasse/Waldseeweg - Hermsdorfer Damm - Veltheimstrasse/Berliner Strasse - Olafstrasse - Hohefeldstrasse - Im Fischgrund - Fürstendamm - Zeltinger Platz - S-Bhf. Frohnau - An der Buche - Donnersmarckplatz - Benediktinerstrasse - Maximiliankorso - Hainbuchenstrasse ",10,65,,1989,Wagenabstand ist für Streckenabschnitte verschieden
12,strassenbahn,Ost,Ahrensfelde - Erich-Glückauf-Strasse - Henneckestrasse - Bruno-Baum-Strasse - S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Arendsweg - Zechliner Strasse - Ho-Chi-Minh-Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse,20,39,,1989,
13,bus,West,Alt-Heiligensee - Hennigsdorfer Strasse - Wesselburer Weg - Am Dachsbau - Bekassinenweg - Reiherallee - An der Schneise - Gabelung - Schulzendorfer Weg - Ruppiner Chaussee - Waidmannsluster Damm - U-Bhf. Tegel - Schlieperstrasse - U-Bhf. Borsigwerke - Namslaustrasse - U-Bhf. Holzhauser Strasse - Mescheder Weg - Sterkrader Strasse - Kamener Weg - Neheimer Strasse - Wasserwerk - Wassersportclub - Weg nach Reiswerder - Maienwerder Weg - Tegeler Brücke - Kabelwerk - Gartenfelder Strasse - Haselhorster Damm - Siedlung Haselhorst - U-Bhf. Haselhorst - Lagerweg - BMW-Maschinenfabrik - U-Bhf. Zitadelle - Zitadellenweg - U-Bhf. Altstadt Spandau - Moritzstrasse - U-Bhf. Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Metzer Strasse - Melanchthonplatz - Am Omnibushof - Wilhelmstrasse - Heerstrasse - Rodensteinstrasse - Weinmeisterhornweg - Karolinenhöhe - Maximilian-Kolbe-Strasse,15,67,,1989,Wagenabstand ist für Streckenabschnitte verschieden
13,strassenbahn,Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Besarinplatz - U-Bhf. Frankfurter Tor - Holteistrasse - S-Bhf. Rummelsburg - VEB Gummiwerke - Heizkraftwerk - Hönower Wiesenweg,20,40,,1989,
14,bus,West,"Märkisches Zentrum - Senftenbg. Ring West - Calauer Strasse - Engelroder Weg - Eichhorster Weg - Sagritzer Weg - Wilhelmsruher Damm - Dannenwalder Weg - Roedernallee - Oranienburgerstrasse - Alt-Wittenau - Wittenau, Kirche - Hermsdorfer Strasse - Am Hügel - Am Kesselpfuhl - Am Nordgraben - Bollestrasse - Gorkistrasse/Ziekowstrasse - Tegel-Center - U-Bhf. Tegel - Waidmannsluster Damm - Heiligenseestrasse - Tegelgrund - Am Waldwinkel - Diakoniezentrum - Schulzendorfer Strasse - Kiefheider Weg - Ziegenorter Pfad - Henningsdorfer Strasse - Krantorweg - Kurzebracker Weg - Mattenbuder Pfad - Schönbaumer Weg - Heiligensee Strasse - Fährstrasse - Alt-Heiligensee",15,47,,1989,Wagenabstand ist für Streckenabschnitte verschieden
