,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Achtermannstrasse,bus,{'52'},"52.57652468032656, 13.418517187666131",nan,['52']+ {'52'}+ {'52'},
1,Adalbertstrasse,bus,{'78'},"52.50548699996121, 13.42221404498021",nan,"['78', '75', '78E']+ {'78', '78E'}+ {'75', '78E', '78'}",
2,"Ahrensfelde, Lindenberger Strasse",bus,{'41'},"52.57534681022296, 13.576454584108735",nan,{'41'},
3,Alexanderplatz,bus,{'78'},"52.5219449,13.4143847",nan,"['78', '9', '78E', '112']+ {'78', '9', '78E'}+ {'78E', '9', '78'}",
4,Allee der Kosmonauten,bus,"{'48', '53'}","52.54468067619617, 13.56457587733865",nan,"['53']+ {'53'}+ {'53', '48'}",
5,Alt-Biesdorf,bus,{'54'},"52.508805788386496, 13.558724778261455",nan,['54']+ {'54'},
6,Alt-Blankenburg,bus,"{'42', '31'}","52.59317785157442, 13.454731457303565",nan,"['42', '31']+ {'42', '31'}+ {'42', '31'}",
7,Alt-Karow,bus,"{'42', '31'}","52.60931228539711, 13.481265848599735",nan,"['42', '31']+ {'42', '31'}+ {'42', '31'}",
8,Alt-Kaulsdorf,bus,{'27'},"52.50508529147867, 13.590866996391515",nan,{'27'}+ {'27'},
9,Alt-Marzahn,bus,"{'91', '92', '99', '54', '95'}","52.54208620315265, 13.563823392369315",nan,"['92', '54']+ {'54', '92'}+ {'99', '92', '91', '54', '95'}",
10,Alt-Müggelheim,bus,{'27'},"52.41018331064196, 13.665897531850348",nan,['27']+ {'27'}+ {'27'},
11,Am Friedrichshain,bus,"{'32', '57', '40'}","52.52873150888438, 13.424352760138131",nan,"['9', '32', '57', '40']+ {'57', '9', '40', '32'}+ {'40', '32', '57/E', '9'}",
12,Am Rosenhag,bus,"{'99', '95', '44'}","52.52474356253909, 13.621775828105108",nan,"['44', '95']+ {'44', '95'}+ {'44', '99', '95'}",
