line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Info
8,bus,ost,Mahlsdorfer Allee - Summter Strasse - Hultschiner Damm - Jägerstrasse - Köpenicker Strasse - Elsterwerdaer Platz - Oberfeldstrasse - Werner-Lamberz-Strasse - Bhf. Friedrichsfelde - Bhf. Lichtenberg,7.5,36,,1989,
27,bus,ost,"S-Bhf. Kaulsdorf - Alt-Kaulsdorf - Chemnitzer Strasse - Jägerstrasse - Gehsener Strasse - S-Bhf. Köpenick - Seelenbinderstrasse - Lindenstrasse - Müggelheimer Strasse - Krankenhaus Köpenick - Chausseehaus - Rübezahl - Müggelseeperle - Müggelheim, Dorf - Alt-Müggelheim",10,41,,1989,
30,bus,ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz - U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Allee - Dimitroffstrasse - Artur-Becker-Strasse - Leninallee - Mühsamstrasse - Samariterstrasse - Jacques-Duclos-Strasse - Herzbergstrasse - Siegfriedstrasse - Omnibus Betriebshof - U-Bhf. Magdalenenstrasse - Bhf. Lichtenberg - Weitlingstrasse - Lückstrasse - S-Bhf. Rummelsburg - Holteistrasse - Warschauer Strasse - Franz-Mehring-Platz - Ostbahnhof,7.5,67,,1989,
31,bus,ost,"Buch, Hobrechtsfelder Chaussee - S-Bhf. Buch - Karower Strasse - Stadtrandsiedlung - Alt-Karow - Straße 26 - Alt-Blankenburg - Heinersdorfer Kirche - Am Steinberg - Ostseestrasse",20,38,,1989,
32,bus,ost,Hans-Beimler-Strasse - Am Friedrichshain - Leninplatz - Karl Marx-Allee - Ostbahnhof - S-Bhf. Jannowitzbrücke - Fischerinsel - Friedrichstrasse - Otto-Grotewohl-Strasse,6,25,,1989,
33,bus,ost,"Grumbkowstrasse - Kurt-Fischer-Platz - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",20,17,,1989,
35,bus,ost,"Biesdorf-Süd, Köpenicker Strasse - Hadubrandstrasse - Zimmermannstrasse - Grabensprung - Elsterwerdaer Platz - Oberfeldstrasse - Werner-Lamberz-Strasse - U-Bhf. Friedrichsfelde - Lincolnstrasse - Weitlingstrasse - S-Bhf. Nöldnerplatz",20,32,,1989,
36,bus,ost,"S-Bhf. Grünau - Gartenstadtweg - Bohnsdorf, Kirche - S-Bhf. Grünbergallee - S-Bhf. Schönefeld - Schönefeld, Dorfstrasse",10,18,,1989,
37,bus,ost,S-Bhf. Grünau - Germanenstrasse - Normannenstrasse - Köpenicker Strasse - Rudower Strasse,30,12,,1989,
38,bus,ost,"S-Bhf. Grünau - Joachimstrasse - Eichbuschplatz - Waltersdorfer Strasse - Bohnsdorf, Waldstrasse - Waltersdorf - Kienberg - Diepensee",60,25,,1989,
39,bus,ost,"Wartenberg, Siedlung - Lindenberger Strasse - Falkenberger Chaussee - Gehrenseestrasse - Wollenberger Strasse - Marzahner Strasse - Große Leege Strasse - Degnerstrasse",20,21,,1989,
40,bus,ost,Robert-Koch-Platz - Oranienburger Tor - Rosenthaler Platz - U-Bhf. Rosa-Luxemburg-Platz - Prenzlauer Allee - Am Friedrichshain - Leninplatz - Karl-Marx-Allee - Franz-Mehring-Platz - Ostbahnhof,8,20,,1989,
41,bus,ost,"Neu-Lindenberg - Lindenberg, Dorf - Malchow, Dorf - Feldtmannstrasse - Rennbahnstrasse - Falkenberger Strasse - Liebermannstrasse - Straße nach Wartenberg - Falkenberg, Schule - Stadtrandsiedlung - S-Bhf. Ahrensfelde - Ahrensfelde, Lindenberger Strasse",30,39,,1989,
