,stop_name,line_count,type,in_lines
0,Mahlsdorfer Allee,1,bus,{'8'}
1,Summter Strasse,1,bus,{'8'}
2,Hultschiner Damm,1,bus,{'8'}
3,Jägerstrasse,2,bus,"{'27', '8'}"
4,Köpenicker Strasse,2,bus,"{'8', '37'}"
5,Elsterwerdaer Platz,2,bus,"{'35', '8'}"
6,Oberfeldstrasse,2,bus,"{'35', '8'}"
7,Werner-Lamberz-Strasse,2,bus,"{'35', '8'}"
8,Bhf. Friedrichsfelde,1,bus,{'8'}
9,Bhf. Lichtenberg,3,bus,"{'54', '8', '30'}"
10,S-Bhf. Kaulsdorf,6,bus,"{'91', '60', '27', '99', '95'}"
11,Alt-Kaulsdorf,1,bus,{'27'}
12,Chemnitzer Strasse,1,bus,{'27'}
13,Jägerstrasse,2,bus,"{'27', '8'}"
14,Gehsener Strasse,1,bus,{'27'}
15,S-Bhf. Köpenick,2,bus,"{'68', '27'}"
16,Seelenbinderstrasse,1,bus,{'27'}
17,Lindenstrasse,2,bus,"{'68', '27'}"
18,Müggelheimer Strasse,2,bus,"{'68', '27'}"
19,Krankenhaus Köpenick,1,bus,{'27'}
20,Chausseehaus,1,bus,{'27'}
21,Rübezahl,1,bus,{'27'}
22,Müggelseeperle,1,bus,{'27'}
23,"Müggelheim, Dorf",1,bus,{'27'}
24,Alt-Müggelheim,1,bus,{'27'}
25,Robert-Koch-Platz,2,bus,"{'40', '30'}"
26,Oranienburger Tor,4,bus,"{'59', '40', '57', '30'}"
27,Rosenthaler Platz,3,bus,"{'40', '30', '78'}"
28,U-Bhf. Rosa-Luxemburg-Platz,2,bus,"{'40', '30'}"
29,Prenzlauer Allee,2,bus,"{'40', '30'}"
30,Dimitroffstrasse,2,bus,"{'57', '30'}"
31,Artur-Becker-Strasse,1,bus,{'30'}
32,Leninallee,3,bus,"{'48', '30', '53'}"
33,Mühsamstrasse,1,bus,{'30'}
34,Samariterstrasse,1,bus,{'30'}
35,Jacques-Duclos-Strasse,2,bus,"{'30', '56'}"
36,Herzbergstrasse,2,bus,"{'30', '56'}"
37,Siegfriedstrasse,2,bus,"{'93', '30'}"
38,Omnibus Betriebshof,1,bus,{'30'}
39,U-Bhf. Magdalenenstrasse,1,bus,{'30'}
40,Bhf. Lichtenberg,3,bus,"{'54', '8', '30'}"
41,Weitlingstrasse,4,bus,"{'35', '30', '96', '43'}"
42,Lückstrasse,1,bus,{'30'}
43,S-Bhf. Rummelsburg,1,bus,{'30'}
44,Holteistrasse,1,bus,{'30'}
45,Warschauer Strasse,1,bus,{'30'}
46,Franz-Mehring-Platz,2,bus,"{'40', '30'}"
47,Ostbahnhof,3,bus,"{'32', '40', '30'}"
48,"Buch, Hobrechtsfelder Chaussee",1,bus,{'31'}
49,S-Bhf. Buch,2,bus,"{'51', '31'}"
50,Karower Strasse,2,bus,"{'42', '31'}"
51,Stadtrandsiedlung,3,bus,"{'42', '41', '31'}"
52,Alt-Karow,2,bus,"{'42', '31'}"
53,Straße 26,2,bus,"{'42', '31'}"
54,Alt-Blankenburg,2,bus,"{'42', '31'}"
55,Heinersdorfer Kirche,1,bus,{'31'}
56,Am Steinberg,3,bus,"{'42', '31', '45'}"
57,Ostseestrasse,2,bus,"{'42', '31'}"
58,Hans-Beimler-Strasse,1,bus,{'32'}
59,Am Friedrichshain,3,bus,"{'32', '57', '40'}"
60,Leninplatz,2,bus,"{'32', '40'}"
61,Karl Marx-Allee,1,bus,{'32'}
62,Ostbahnhof,3,bus,"{'32', '40', '30'}"
63,S-Bhf. Jannowitzbrücke,2,bus,"{'32', '78'}"
64,Fischerinsel,1,bus,{'32'}
65,Friedrichstrasse,1,bus,{'32'}
66,Otto-Grotewohl-Strasse,2,bus,"{'32', '59'}"
67,Grumbkowstrasse,2,bus,"{'50', '33'}"
68,Kurt-Fischer-Platz,1,bus,{'33'}
69,Bürgerpark,3,bus,"{'50', '55', '33'}"
70,"Pankow, Kirche",1,bus,{'33'}
71,S-Bhf. Pankow,2,bus,"{'33', '45'}"
72,U-Bhf. Pankow,4,bus,"{'50', '52', '55', '33'}"
73,"Biesdorf-Süd, Köpenicker Strasse",1,bus,{'35'}
74,Hadubrandstrasse,1,bus,{'35'}
75,Zimmermannstrasse,1,bus,{'35'}
76,Grabensprung,1,bus,{'35'}
77,Elsterwerdaer Platz,2,bus,"{'35', '8'}"
78,Oberfeldstrasse,2,bus,"{'35', '8'}"
79,Werner-Lamberz-Strasse,2,bus,"{'35', '8'}"
80,U-Bhf. Friedrichsfelde,3,bus,"{'35', '53', '43'}"
81,Lincolnstrasse,1,bus,{'35'}
82,Weitlingstrasse,4,bus,"{'35', '30', '96', '43'}"
83,S-Bhf. Nöldnerplatz,4,bus,"{'35', '96', '43'}"
84,S-Bhf. Grünau,3,bus,"{'36', '38', '37'}"
85,Gartenstadtweg,1,bus,{'36'}
86,"Bohnsdorf, Kirche",1,bus,{'36'}
87,S-Bhf. Grünbergallee,1,bus,{'36'}
88,S-Bhf. Schönefeld,1,bus,{'36'}
89,"Schönefeld, Dorfstrasse",1,bus,{'36'}
90,S-Bhf. Grünau,3,bus,"{'36', '38', '37'}"
91,Germanenstrasse,1,bus,{'37'}
92,Normannenstrasse,1,bus,{'37'}
93,Köpenicker Strasse,2,bus,"{'8', '37'}"
94,Rudower Strasse,3,bus,"{'47', '65', '37'}"
95,S-Bhf. Grünau,3,bus,"{'36', '38', '37'}"
