stop_id,stop_name,type,location,in_lines,identifier,stop_description
19460,Adlershof,s-bahn,"52.434722222222,13.541388888889","['KBS 100a', 'KBS 100c']",Q323551,
19461,Akazienallee,bus,"52.47849809201335, 13.607179083668733",['D'],,
19462,Alexanderplatz,bus,"52.52005246558073, 13.413957243449447","['1', '9']",,
19463,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","['KBS 101', 'KBS 100c']",Q111324700,
19464,Alexanderplatz,strassenbahn,"52.5219449,13.4143847","['72', '64', '73', '65', '60']",Q65548996,
19465,Alexanderplatz,u-bahn,"52.5214,13.4119","['E', 'A', 'D']",Q17173458,
19466,Alexanderstrasse,bus,"52.51778540833277, 13.418077932963259",['1'],,
19467,Alt-Biesdorf,bus,"52.508805788386496, 13.558724778261455",['H'],,
19468,Alt-Friedrichsfelde,bus,"52.51072943298707, 13.504877027235766","['H', '1']",,
19469,Alt-Friedrichsfelde,strassenbahn,"52.50914093654053, 13.518129930582422",['69'],,
194610,Alt-Kaulsdorf,bus,"52.50517404169193, 13.581539359412261",['H'],,
194611,Alt-Moabit,strassenbahn,"52.522953428732706, 13.363110996619637",['21'],,
194612,Alt-Pichelsdorf,strassenbahn,"52.512205003004254, 13.20098769648865",['75'],,
194613,Am Schlesischen Bahnhof,bus,"52.511300751384205, 13.434689302904747",['1'],,
194614,Am Schlesischen Bahnhof,strassenbahn,"52.50992342587209, 13.433401993102558",['82'],,
194615,Am Treptower Park,strassenbahn,"52.49174753133871, 13.457760339630582",['87'],,
194616,An der Wuhlheide,strassenbahn,"52.4558167657369, 13.558133104178587","['87', '95']",,
194617,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","['KBS 105a', 'KBS 103', 'KBS 104a']",Q111324573,
194618,Anhalter Bahnhof,strassenbahn,"52.50453275122, 13.382326534592197",['1'],,
194619,Anhalter Bhf.,strassenbahn,"52.50449054956299, 13.382289924849571",['21'],,
194620,Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905","['96', '99']",,
194621,Attilastrasse,strassenbahn,"52.44680180814698, 13.360708029669821",['96'],,
194622,Babelsberg,s-bahn,"52.3914,13.0928",['KBS 101'],Q801326,
194623,Badstrasse Ecke Pankstrasse,strassenbahn,"52.55227848989899, 13.381428333797949","['199', '24']",,
194624,Badstrasse Ecke Pankstrassse,strassenbahn,"52.5523075512431, 13.381391516100862","['28', '128', '41', '141']",,
194625,Badstrassse,strassenbahn,"52.54862880712163, 13.387940970243234","['28', '128', '41', '141']",,
194626,Baerwaldstrasse Ecke Gneisenaustrasse,strassenbahn,"52.490331369885155, 13.400299112902015",['99'],,
194627,Bahnhof Mahlsdorf,bus,"52.512509114258, 13.612231040399239",['H'],,
194628,Bahnhof Schöneweide,strassenbahn,"52.45613201289592, 13.51033986454809",['91'],,
194629,Bahnhofstrasse,strassenbahn,"52.38666976464739, 13.407955106521282",['99'],,
194630,Bahnhofstrasse,strassenbahn,"52.40244986860125, 13.512704137216817",['83'],,
194631,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684",['83'],Q66095701,
194632,Baltenplatz,strassenbahn,"52.519215,13.4525257","['65', '4']",Q65706258,
194633,Baumschulenstrasse,strassenbahn,"52.460884119473235, 13.481278679734508",['95'],,
194634,Baumschulenweg,s-bahn,"52.4675,13.489722","['KBS 100a', 'KBS 100c']",Q324336,
194635,Bayerischer Platz,strassenbahn,"52.48857550103818, 13.340030405284534",['3'],,
194636,Bayerischer Platz,u-bahn,"52.488333333333,13.340277777778",['B1'],Q668574,
194637,Bellevue,s-bahn,"52.52,13.348055555556","['KBS 101', 'KBS 100c']",Q374018,
194638,Bergstrasse,strassenbahn,"52.48084525434906, 13.435357975110138",['6'],,
194639,Bergstrasse,u-bahn,"52.476111111111,13.439166666667",['C'],Q519494,
194640,Berliner Allee Ecke Lichtenberger strasse,strassenbahn,"52.55200136641885, 13.465720692557477",['8'],,
194641,"Berliner Allee, Antonplatz",strassenbahn,"52.5484803,13.4517416","['72', '60', '8']",Q65548849,
194642,Berliner Strasse,strassenbahn,"52.5894754993654, 13.283821595924584",['128'],,
194643,Berliner Strasse Ecke Dorfstrasse,strassenbahn,"52.465924102673426, 13.38555668803175",['99'],,
194644,Berliner Strasse Ecke Humboldtstrasse,strassenbahn,"52.569293845351886, 13.329886404982428",['68'],,
194645,Berliner Strasse Ecke Kaiserallee,strassenbahn,"52.487339334357976, 13.3309375952067",['3'],,
194646,Berliner Strasse Ecke Scharnweberstrasse,strassenbahn,"52.56404993147306, 13.327860788039368",['68'],,
